Code,All dwellings,Detached,Semi-detached,Terraced,Flats and maisonettes,Owner-occupied,Private rent,Social rent,Pre-1929,1930 to 1982,1983 to 2011,2012 onwards,Existing dwellings,New dwellings
E14000814,66,65,65,66,73,65,65,71,58,64,69,84,65,84
E14000815,68,66,69,70,74,66,67,72,58,66,70,84,67,84
E14000816,69,67,67,71,75,65,64,69,52,63,69,84,65,84
E14000817,70,67,68,71,75,67,68,71,59,66,73,84,68,84
E14000818,70,68,69,70,74,65,69,70,56,65,70,84,66,84
E14000819,67,83,66,64,74,63,63,70,60,67,74,83,66,83
E14000820,69,70,67,67,73,65,65,71,58,67,71,84,67,83
E14000821,72,70,69,69,79,70,71,71,58,68,73,84,70,84
E14000822,72,72,71,70,79,70,69,70,58,67,71,84,69,84
E14000823,68,63,61,66,71,66,68,69,65,66,73,83,67,83
E14000824,67,63,64,68,73,64,65,70,57,64,73,84,65,84
E14000825,64,65,63,62,69,63,64,71,59,63,70,83,63,83
E14000826,68,71,67,65,74,66,66,69,58,66,70,84,66,84
E14000827,67,64,67,69,74,66,67,71,56,66,71,84,67,84
E14000828,68,65,67,69,73,66,67,71,57,66,71,84,67,84
E14000829,67,66,66,67,73,65,65,70,56,65,70,84,65,84
E14000830,69,63,65,69,75,66,66,70,55,65,71,83,66,83
E14000831,69,70,67,67,71,66,68,70,65,67,74,83,68,83
E14000832,68,71,66,65,69,66,68,69,65,67,74,83,67,83
E14000833,71,83,69,69,71,68,69,70,64,68,73,84,69,84
E14000834,67,66,66,65,74,65,66,70,60,66,71,83,66,83
E14000835,68,67,68,67,71,65,65,71,60,64,70,83,65,84
E14000836,69,74,68,67,73,66,67,69,60,67,71,84,67,84
E14000837,66,61,68,67,73,61,61,70,48,61,70,84,61,84
E14000838,67,66,68,67,70,63,64,71,55,64,71,84,64,84
E14000839,67,65,66,70,74,66,64,69,52,64,70,84,66,84
E14000840,68,72,68,67,73,66,67,69,63,67,72,83,67,83
E14000841,72,71,71,71,78,68,67,71,58,66,72,84,68,84
E14000842,69,67,68,69,73,66,68,70,57,65,70,84,67,84
E14000843,67,67,67,66,73,65,65,68,59,66,69,84,66,84
E14000844,71,67,69,71,77,68,68,71,55,66,71,84,68,84
E14000845,68,66,66,67,73,65,66,69,58,66,71,84,66,84
E14000846,68,67,66,68,75,65,66,71,56,65,70,84,65,84
E14000847,65,61,65,68,71,61,58,68,46,63,68,84,61,83
E14000848,64,62,62,66,72,61,61,69,52,62,68,83,62,83
E14000849,67,66,66,68,73,64,63,70,54,65,69,83,64,83
E14000850,69,65,66,70,75,66,69,74,57,66,73,84,67,84
E14000851,71,71,69,70,76,69,72,70,64,66,73,84,69,84
E14000852,67,66,66,68,70,65,65,71,61,66,73,84,66,84
E14000853,70,80,68,70,71,69,69,70,65,69,72,83,69,83
E14000854,67,68,65,66,72,64,65,69,56,64,70,84,65,84
E14000855,71,69,70,72,76,67,69,72,58,67,72,84,68,84
E14000856,67,68,67,65,73,65,65,69,59,67,72,83,66,83
E14000857,71,67,69,71,77,67,67,71,54,66,72,83,67,83
E14000858,70,72,69,67,74,66,66,70,57,65,70,84,65,84
E14000859,66,63,63,66,73,62,64,69,54,63,69,84,64,84
E14000860,69,66,67,69,75,66,66,68,52,65,71,84,66,84
E14000861,67,67,65,66,73,65,66,72,60,67,71,84,66,83
E14000862,69,68,66,66,74,67,67,72,62,68,73,83,68,83
E14000863,68,67,67,67,73,66,68,71,63,67,72,84,67,84
E14000864,69,66,68,66,73,66,69,71,62,69,74,83,69,83
E14000865,67,60,60,63,74,61,65,72,60,70,76,83,66,83
E14000866,68,66,67,68,72,66,65,70,59,68,72,84,68,84
E14000867,69,62,64,67,76,64,70,71,61,67,76,82,68,82
E14000868,68,70,67,65,74,65,66,70,59,65,70,84,66,84
E14000869,64,60,60,64,71,62,66,71,59,62,73,83,63,82
E14000870,66,66,66,64,73,63,65,70,60,67,71,84,65,84
E14000871,67,68,66,64,74,64,65,71,61,67,72,84,66,84
E14000872,65,62,62,68,72,63,66,72,60,63,72,83,65,83
E14000873,70,66,65,68,73,67,68,72,62,68,74,84,69,84
E14000874,69,66,66,69,75,67,70,71,61,67,73,83,68,84
E14000875,62,67,66,59,72,59,61,71,57,66,72,83,61,83
E14000876,67,67,67,65,74,66,65,70,57,67,70,84,66,84
E14000877,64,61,64,63,73,59,55,68,46,62,67,83,59,83
E14000878,70,65,68,70,73,66,66,75,59,70,71,83,68,83
E14000879,70,67,68,70,73,66,69,72,61,68,72,84,69,84
E14000880,68,63,63,64,71,64,67,71,63,69,76,83,67,83
E14000881,70,65,67,70,75,67,70,72,62,65,76,84,68,84
E14000882,81,67,70,70,81,79,76,73,66,71,78,85,75,85
E14000883,67,66,65,65,73,65,67,71,64,66,73,85,67,85
E14000884,68,65,61,65,72,65,67,73,65,71,76,83,68,83
E14000885,68,67,67,65,74,64,66,72,61,70,72,83,68,83
E14000886,65,66,63,63,72,63,65,71,57,64,73,82,64,83
E14000887,71,59,61,65,72,69,70,72,64,70,77,84,70,84
E14000888,67,66,63,70,74,64,67,73,57,62,70,84,65,84
E14000889,69,65,65,65,75,66,68,72,62,67,74,84,67,84
E14000890,69,65,65,68,74,66,67,71,62,66,73,84,67,84
E14000891,68,69,66,68,73,64,64,71,59,66,72,84,66,83
E14000892,69,67,67,68,74,67,69,71,54,68,70,83,68,83
E14000893,70,63,65,70,74,65,70,72,59,67,75,84,68,84
E14000894,68,72,67,65,74,65,64,72,60,64,70,84,65,84
E14000895,67,64,67,67,73,63,65,70,50,65,69,83,65,83
E14000896,67,60,60,64,71,65,67,70,62,67,75,84,66,83
E14000897,69,69,68,66,74,65,65,71,62,69,72,83,67,83
E14000898,70,70,66,67,77,65,67,72,60,67,74,84,68,84
E14000899,66,63,62,64,69,63,65,71,61,63,73,84,64,84
E14000900,66,59,59,64,74,62,67,72,59,62,76,83,64,83
E14000901,68,66,66,68,73,66,66,69,57,64,70,84,66,84
E14000902,65,69,66,62,73,62,63,71,60,67,71,83,64,83
E14000903,67,67,66,66,74,66,65,69,59,65,70,84,66,84
E14000904,68,67,67,65,73,64,65,70,60,67,73,84,67,84
E14000905,70,72,68,68,76,66,67,73,61,65,73,84,67,84
E14000906,66,61,61,68,71,64,68,69,58,64,74,84,65,84
E14000907,69,65,64,69,76,66,68,72,59,65,74,83,67,83
E14000908,69,68,67,71,74,66,66,71,58,65,70,84,66,84
E14000909,68,67,66,68,74,66,64,68,54,64,70,84,65,84
E14000910,71,71,68,70,77,66,63,70,53,64,72,84,66,84
E14000911,76,72,67,69,80,70,73,73,62,70,75,83,71,83
E14000912,70,67,69,70,76,66,67,71,60,66,72,84,67,84
E14000913,66,64,65,63,69,63,63,70,59,64,71,83,63,83
E14000914,67,67,65,68,72,65,66,71,61,65,72,83,66,83
E14000915,69,72,68,68,73,67,67,69,60,67,71,84,67,84
E14000916,67,67,64,70,72,65,67,71,58,65,72,84,66,84
E14000917,68,68,67,69,74,64,64,70,55,64,69,84,65,84
E14000918,66,64,64,66,73,65,65,69,58,64,72,84,65,84
E14000919,71,62,68,59,76,65,70,71,57,69,76,81,69,81
E14000920,68,67,67,65,73,65,65,71,55,68,70,84,67,84
E14000921,66,65,66,60,73,62,60,70,55,67,73,84,65,84
E14000922,65,65,64,60,72,64,61,71,57,66,72,84,64,84
E14000923,67,65,66,65,73,64,66,71,57,67,75,84,67,84
E14000924,70,70,68,69,75,67,66,70,57,66,72,83,67,83
E14000925,65,66,63,61,72,63,65,69,57,64,72,84,64,84
E14000926,69,69,68,69,73,66,66,71,57,66,70,83,66,83
E14000927,69,68,68,68,73,66,66,70,60,66,72,84,67,83
E14000928,66,65,66,65,73,63,63,70,56,64,70,84,64,84
E14000929,68,67,68,71,75,66,66,68,52,64,69,83,66,83
E14000930,70,66,65,69,73,67,70,71,60,66,73,82,69,81
E14000931,66,64,62,69,74,64,66,70,59,63,71,83,65,83
E14000932,68,65,67,69,74,64,66,70,53,65,71,84,65,84
E14000933,68,69,65,67,72,66,68,70,58,66,70,84,67,84
E14000934,71,68,69,72,81,66,67,72,55,64,72,84,67,84
E14000935,72,74,70,71,76,68,67,70,58,66,71,84,67,84
E14000936,68,65,67,67,72,65,67,72,59,66,73,83,67,83
E14000937,70,67,68,71,77,66,67,71,56,64,71,84,67,84
E14000938,66,61,67,66,72,61,63,70,50,63,70,83,62,83
E14000939,68,66,68,70,72,65,67,68,57,65,69,84,65,84
E14000940,69,69,67,70,75,65,66,70,58,64,69,83,66,83
E14000941,69,66,66,73,77,64,63,70,50,61,71,84,64,83
E14000942,71,69,69,73,78,67,68,71,53,65,70,84,68,84
E14000943,68,68,66,69,74,65,67,72,61,65,70,84,66,84
E14000944,68,69,67,68,70,66,67,70,64,68,73,83,68,83
E14000945,68,65,66,69,75,65,66,72,56,65,70,84,66,84
E14000946,68,65,67,69,74,64,63,71,52,65,70,84,65,84
E14000947,69,68,68,67,74,68,69,70,64,67,72,84,68,84
E14000948,67,65,66,66,70,65,65,71,61,67,74,84,66,84
E14000949,71,69,69,69,75,67,69,70,58,66,72,84,68,84
E14000950,69,67,68,71,74,66,67,71,55,65,70,84,66,84
E14000951,68,64,64,67,75,65,68,71,58,65,73,84,66,84
E14000952,66,63,63,69,73,62,65,68,48,62,69,84,64,84
E14000953,68,64,65,68,73,65,67,71,58,66,72,83,66,83
E14000954,68,64,66,69,73,64,66,71,54,65,71,84,65,84
E14000955,69,62,65,69,73,66,70,69,63,65,75,85,68,85
E14000956,68,63,65,68,71,67,68,68,64,66,74,84,68,84
E14000957,63,59,60,64,68,61,63,74,60,62,73,84,62,84
E14000958,65,63,62,68,71,63,65,70,59,65,74,84,64,84
E14000959,68,62,63,68,73,65,68,72,59,66,73,84,67,83
E14000960,69,66,65,68,73,66,69,71,60,67,73,84,68,83
E14000961,67,64,67,67,73,63,64,69,52,62,70,83,63,83
E14000962,67,68,66,66,73,64,66,69,62,66,71,83,66,83
E14000963,69,71,67,67,75,66,67,72,62,67,72,83,67,83
E14000964,61,57,63,60,69,57,58,69,48,61,70,83,58,83
E14000965,69,67,67,68,75,65,66,71,59,65,70,84,66,84
E14000966,64,62,64,63,74,62,63,67,56,64,69,83,63,83
E14000967,69,68,68,67,74,65,67,72,61,69,73,83,68,83
E14000968,69,66,67,68,74,67,69,71,59,68,71,82,69,82
E14000969,66,67,64,64,71,63,64,70,60,66,72,83,65,83
E14000970,69,72,67,68,73,66,67,70,60,67,72,84,67,84
E14000971,69,70,66,67,74,67,68,70,61,65,71,83,67,83
E14000972,67,67,67,64,74,64,65,69,61,67,74,83,66,83
E14000973,67,67,67,65,73,65,66,69,62,67,71,83,66,83
E14000974,67,67,67,64,73,65,65,69,59,67,69,84,66,84
E14000975,66,66,65,68,73,64,63,69,53,64,70,84,64,84
E14000976,66,64,65,65,72,64,64,69,58,65,70,83,65,83
E14000977,71,69,69,70,75,66,66,71,54,66,71,84,67,84
E14000978,68,57,58,64,69,66,66,69,64,68,75,83,67,83
E14000979,67,63,63,64,75,63,66,68,60,65,73,83,65,83
E14000980,68,66,67,69,72,63,66,69,54,65,71,84,64,84
E14000981,67,66,66,68,73,64,63,70,56,65,70,83,65,83
E14000982,67,78,66,62,72,62,64,69,60,67,75,83,65,83
E14000983,69,66,67,70,75,66,69,71,58,65,71,84,67,84
E14000984,68,60,60,65,72,65,69,73,61,65,75,84,66,83
E14000985,65,64,63,66,71,64,67,70,58,63,71,84,65,84
E14000986,68,68,67,68,72,66,67,69,58,66,70,84,67,84
E14000987,67,64,65,68,74,64,65,70,57,65,71,84,65,84
E14000988,70,68,70,69,74,67,68,71,58,66,71,84,67,84
E14000989,71,70,71,71,74,68,70,72,59,69,69,83,69,83
E14000990,71,71,68,72,73,67,69,70,56,65,70,84,67,84
E14000991,67,65,64,67,75,63,59,69,50,64,69,84,63,84
E14000992,70,69,69,71,76,66,68,70,56,66,69,84,67,84
E14000993,66,64,66,65,75,62,58,67,51,63,69,84,62,84
E14000994,71,70,69,71,82,67,66,69,50,66,69,84,66,84
E14000995,69,68,66,68,73,67,69,70,61,66,71,84,68,84
E14000996,68,64,67,69,73,63,65,71,52,65,69,84,65,84
E14000997,69,67,65,68,77,66,66,70,57,65,73,84,66,84
E14000998,68,63,59,64,69,66,67,69,65,70,75,84,67,83
E14000999,66,63,65,65,68,65,65,72,61,64,73,83,65,83
E14001000,65,62,64,65,72,61,62,70,52,63,70,83,62,83
E14001001,65,63,66,65,70,62,62,71,53,63,69,84,63,84
E14001002,69,69,61,64,72,65,66,70,63,71,74,84,67,84
E14001003,66,64,65,65,73,62,63,70,54,63,71,83,63,83
E14001004,68,64,64,67,72,64,65,70,60,66,73,84,65,84
E14001005,67,59,61,65,70,65,66,72,62,66,75,84,66,83
E14001006,69,75,67,67,71,67,68,71,63,67,74,84,67,83
E14001007,68,61,62,66,74,64,68,70,60,64,73,84,66,84
E14001008,72,55,58,65,73,69,70,71,65,70,77,84,70,84
E14001009,67,67,66,65,73,64,67,68,58,66,72,83,66,83
E14001010,66,66,61,66,71,62,64,70,60,67,73,83,65,83
E14001011,68,66,66,67,72,66,68,69,58,67,72,83,67,83
E14001012,66,63,65,63,72,63,63,70,58,65,74,83,65,83
E14001013,69,61,62,64,73,65,66,71,64,69,75,85,66,85
E14001014,70,74,68,68,72,68,67,69,64,67,71,83,68,83
E14001015,74,78,71,72,79,70,68,71,55,65,71,84,68,84
E14001016,64,68,64,61,70,61,62,69,58,64,72,83,63,83
E14001017,68,67,66,68,75,65,69,72,63,67,71,83,67,83
E14001018,69,69,65,68,77,66,70,73,62,65,73,83,67,84
E14001019,70,71,69,69,72,67,67,70,60,67,72,84,68,84
E14001020,70,71,69,69,73,68,69,70,65,69,72,83,69,83
E14001021,69,63,63,66,76,66,69,71,62,65,74,84,67,84
E14001022,67,66,66,67,73,65,66,72,62,67,71,83,67,83
E14001023,69,66,68,69,74,65,66,72,55,65,70,84,65,84
E14001024,70,69,68,70,75,67,67,71,59,68,70,83,68,83
E14001025,72,74,70,69,77,68,67,71,60,66,71,84,67,84
E14001026,68,65,67,69,74,65,67,71,57,65,71,84,66,84
E14001027,70,65,67,69,76,68,71,71,60,67,74,83,69,83
E14001028,68,68,68,66,73,65,66,70,60,67,71,83,67,83
E14001029,67,66,65,66,72,65,65,70,60,65,73,84,66,83
E14001030,68,68,66,68,72,67,67,70,58,66,72,83,67,83
E14001031,68,62,65,69,75,64,61,72,53,63,71,83,65,83
E14001032,74,67,63,65,79,70,69,72,63,70,77,84,69,84
E14001033,69,69,67,68,73,66,66,70,59,67,71,83,67,83
E14001034,68,65,67,69,75,65,67,71,55,65,71,83,66,83
E14001035,67,64,66,69,73,62,63,71,53,65,70,84,64,84
E14001036,70,59,58,65,71,69,69,72,67,71,77,85,69,84
E14001037,66,62,65,65,71,62,61,71,54,65,70,83,64,83
E14001038,69,67,68,71,70,66,67,74,59,66,72,84,67,84
E14001039,68,71,67,66,73,65,67,71,62,67,71,83,66,83
E14001040,68,63,60,64,72,65,67,71,63,66,76,84,66,84
E14001041,70,66,67,69,75,67,69,72,60,67,73,85,68,85
E14001042,69,67,66,68,74,66,67,72,60,66,71,84,67,84
E14001043,66,65,63,65,74,64,65,67,60,64,74,83,64,83
E14001044,66,65,64,67,72,64,66,70,59,66,72,84,66,84
E14001045,70,68,68,70,76,66,66,71,52,65,71,84,67,84
E14001046,71,69,71,70,77,67,67,71,52,65,72,84,67,84
E14001047,69,65,66,69,74,67,70,70,60,67,73,84,68,85
E14001048,72,69,71,72,76,68,69,71,57,66,71,84,68,84
E14001049,68,66,65,68,72,65,66,70,61,66,71,83,66,83
E14001050,68,67,67,66,72,65,66,70,61,66,72,83,66,83
E14001051,64,62,61,62,71,62,62,71,58,63,72,82,63,83
E14001052,68,67,66,67,73,65,67,71,59,67,70,83,67,83
E14001053,66,67,65,63,72,61,61,69,55,66,70,83,64,83
E14001054,69,70,67,68,74,67,68,71,63,68,71,83,68,84
E14001055,66,63,66,67,69,65,65,71,62,64,73,84,65,83
E14001056,69,64,64,69,75,64,67,72,59,66,73,83,67,83
E14001057,69,74,65,71,75,65,66,71,55,63,70,84,65,84
E14001058,66,64,65,64,72,63,65,69,56,64,71,83,64,83
E14001059,69,66,67,68,73,66,69,70,60,69,74,84,69,84
E14001060,69,66,68,69,74,65,68,71,58,67,71,83,67,83
E14001061,68,66,66,65,74,65,68,71,62,66,74,83,67,83
E14001062,67,66,66,70,74,66,67,71,61,65,69,83,67,83
W07000041,62,53,66,65,75,56,55,72,48,65,68,84,60,84
W07000042,67,64,66,69,74,63,64,72,55,67,70,84,66,84
W07000043,69,68,68,68,75,66,66,72,59,67,71,83,67,84
W07000044,68,68,67,66,73,66,66,72,61,68,71,83,67,83
W07000045,65,66,65,63,73,61,63,71,59,65,72,83,64,83
W07000046,66,65,65,66,73,63,66,72,57,64,72,84,65,84
W07000047,66,65,63,62,73,63,66,72,61,65,75,83,65,83
W07000048,68,67,67,65,75,64,66,72,61,67,74,83,66,83
W07000049,69,68,69,64,74,63,65,73,61,70,73,84,68,83
W07000050,67,65,65,64,71,65,66,72,63,68,76,83,66,84
W07000051,69,69,66,69,73,66,69,71,63,66,72,84,67,84
W07000052,62,66,62,62,72,61,63,71,61,69,73,83,62,83
W07000053,70,74,68,67,75,65,66,73,60,70,72,84,68,84
W07000054,68,65,67,69,74,65,65,73,54,66,71,84,66,84
W07000055,70,71,69,67,77,67,66,73,62,67,73,83,67,83
W07000056,70,73,67,68,73,68,68,72,63,68,73,84,68,83
W07000057,63,55,64,62,71,57,62,69,56,65,71,83,62,83
W07000058,64,61,63,64,69,61,63,70,56,64,72,85,63,85
W07000059,64,62,63,64,70,62,64,69,56,63,70,84,63,84
W07000060,65,63,65,66,70,63,64,70,59,63,71,83,64,83
W07000061,55,47,56,57,65,51,53,66,47,59,66,84,54,84
W07000062,66,60,66,66,74,62,63,70,54,67,72,83,65,83
W07000063,61,55,63,65,73,57,57,71,43,62,67,83,59,83
W07000064,60,52,63,62,69,55,59,70,48,62,68,83,58,83
W07000065,63,58,67,63,72,59,61,72,52,61,70,84,61,84
W07000066,65,61,67,64,70,60,62,72,55,63,70,83,62,83
W07000067,59,55,60,60,68,55,58,65,48,59,67,83,57,83
W07000068,62,56,63,64,68,58,60,70,51,62,70,83,60,83
W07000069,68,66,68,65,73,62,65,72,58,69,72,83,67,83
W07000070,65,72,65,63,73,62,64,71,62,67,72,83,64,83
W07000071,67,70,69,65,73,63,66,71,62,70,74,83,67,83
W07000072,65,71,66,63,72,63,64,71,62,67,74,83,64,83
W07000073,70,70,67,69,74,66,67,73,59,66,72,83,68,83
W07000074,67,71,67,64,73,63,64,73,60,67,72,83,65,83
W07000075,67,70,66,65,74,64,66,73,61,66,72,83,66,83
W07000076,68,70,68,65,73,65,67,71,61,69,72,84,68,84
W07000077,68,71,68,65,73,64,65,71,61,68,73,84,66,84
W07000078,70,69,69,68,75,65,66,73,61,68,72,84,67,84
W07000079,70,70,68,67,73,66,67,72,62,69,73,84,68,84
W07000080,72,69,68,68,76,69,73,72,62,69,75,83,71,83