Area Code,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024
E92000001,90.109,90.386,90.777,91.008,90.976,90.987,91.131,91.219,88.948,87.558,90.183,90.512,91.097
E14000530,95.810,98.125,96.819,98.351,98.404,98.387,98.590,98.503,94.125,92.829,97.957,97.958,98.510
E14000531,93.577,95.635,95.983,96.169,94.646,95.850,96.141,96.532,93.147,95.252,93.924,96.154,94.504
E14000532,96.076,98.345,98.496,98.791,96.461,97.776,98.231,98.424,93.929,94.847,97.843,97.939,98.048
E14000533,97.382,97.296,97.585,97.296,97.753,97.781,96.836,96.644,93.295,95.521,95.836,98.064,98.289
E14000534,86.256,84.917,86.455,85.700,85.226,84.961,86.032,84.894,80.727,77.626,85.411,85.622,86.471
E14000535,98.726,98.785,98.822,99.014,98.933,98.971,98.561,98.831,95.080,94.944,98.308,97.982,98.868
E14000536,55.886,55.691,56.811,56.598,57.161,56.301,55.307,56.172,54.285,55.054,59.771,51.687,56.509
E14000537,96.550,95.947,96.346,96.876,97.021,96.390,96.666,96.843,97.445,94.245,97.195,95.885,96.996
E14000538,82.523,82.101,82.413,81.729,82.409,81.377,84.256,89.039,88.947,84.699,87.287,89.646,88.425
E14000539,78.183,77.261,76.790,78.146,77.650,76.913,77.988,78.444,77.281,73.771,77.694,77.295,80.186
E14000540,97.253,96.315,97.811,97.920,98.229,97.731,97.790,98.363,96.187,95.380,97.629,96.545,97.986
E14000541,96.453,96.884,96.590,97.184,97.160,97.384,96.093,97.244,96.209,93.995,95.703,96.942,96.993
E14000542,94.995,95.080,94.978,95.148,95.024,94.778,95.222,95.282,92.036,92.752,94.264,94.785,95.270
E14000543,87.015,87.770,87.956,89.752,88.748,87.274,88.345,88.932,87.634,83.612,87.703,87.818,88.959
E14000544,96.421,98.635,98.046,97.928,98.725,98.918,98.360,95.394,93.233,93.240,98.899,94.751,99.032
E14000545,96.878,98.365,98.563,98.944,98.143,98.521,98.370,98.647,98.095,97.404,97.110,98.398,98.656
E14000546,92.806,93.010,92.585,93.353,92.885,93.153,91.160,93.320,91.980,87.765,92.311,92.771,92.986
E14000547,97.276,98.542,98.702,98.770,98.488,98.743,98.800,97.667,95.631,91.903,98.059,98.547,98.382
E14000548,98.530,99.062,99.033,99.052,98.690,98.836,99.111,99.282,95.334,95.464,98.599,98.524,99.129
E14000549,96.821,98.123,97.725,98.365,97.876,97.238,98.176,98.455,96.021,97.108,95.866,96.632,97.274
E14000550,96.080,96.218,96.258,96.059,97.428,96.218,93.040,95.832,95.120,91.649,94.540,95.800,96.991
E14000551,95.590,95.811,95.882,97.225,97.159,96.366,96.824,97.129,92.657,92.763,92.796,96.121,96.893
E14000552,96.950,97.105,97.008,96.695,97.107,97.064,97.195,97.067,94.864,91.825,95.373,96.673,96.886
E14000553,94.274,97.878,98.258,98.327,98.595,98.407,98.552,98.697,97.365,97.365,97.853,97.136,96.412
E14000554,74.540,75.667,76.992,75.468,75.203,77.199,75.175,76.350,71.463,76.633,78.856,79.005,80.012
E14000555,97.819,97.645,98.275,98.685,98.175,98.576,98.712,98.538,98.391,98.188,98.162,97.926,97.940
E14000556,69.385,69.364,71.731,70.742,70.861,71.230,71.715,70.045,67.223,69.182,69.609,70.812,72.875
E14000557,61.279,61.871,63.736,61.822,64.409,68.036,70.398,71.983,70.161,69.877,71.170,73.474,72.313
E14000558,94.360,96.335,96.338,95.320,95.027,96.056,96.787,96.611,92.204,91.087,96.312,96.696,96.515
E14000559,97.856,97.618,98.177,98.375,98.613,98.100,98.474,98.354,96.979,94.174,97.419,97.499,97.670
E14000560,96.438,94.883,97.117,97.230,96.511,97.182,97.209,96.404,94.254,94.721,96.016,96.668,96.166
E14000561,95.344,96.031,96.841,97.251,97.017,97.326,97.290,97.199,94.452,94.963,96.010,96.158,97.266
E14000562,96.302,95.019,96.608,96.628,96.673,96.834,96.880,97.323,96.179,93.864,95.115,96.483,96.917
E14000563,94.708,95.426,94.291,94.820,96.105,95.944,95.116,96.023,94.558,93.508,94.426,92.967,95.681
E14000564,95.068,96.338,96.180,97.212,96.740,95.989,96.729,97.142,96.562,94.717,95.757,95.641,96.187
E14000565,95.394,95.968,97.612,97.782,97.287,97.045,97.772,97.612,95.007,92.520,94.237,96.207,96.562
E14000566,96.526,96.886,97.537,98.151,97.950,98.192,97.935,98.107,97.120,95.831,97.424,97.943,96.211
E14000567,94.634,95.895,97.208,97.073,97.176,97.297,97.464,97.419,93.424,94.679,95.928,96.658,96.253
E14000568,96.915,96.992,97.457,95.849,97.439,95.514,96.897,97.437,96.732,94.691,96.336,97.348,96.035
E14000569,84.627,83.838,84.085,84.890,84.348,84.515,85.640,84.731,82.128,81.621,83.834,84.606,84.958
E14000570,97.544,97.880,98.062,98.244,97.051,98.157,97.810,97.920,95.342,95.680,96.597,96.591,96.575
E14000571,96.994,96.035,97.359,97.494,97.587,97.284,97.617,97.802,96.779,95.707,97.045,96.589,97.454
E14000572,98.378,98.700,98.720,98.953,98.670,98.821,98.936,98.976,96.083,94.503,98.470,98.869,98.541
E14000573,98.226,98.414,98.556,98.785,98.713,98.724,98.294,98.695,97.221,94.147,97.997,98.478,98.656
E14000574,97.338,97.818,97.876,95.953,97.921,97.668,98.193,98.000,96.182,93.100,97.653,98.354,98.120
E14000575,96.190,97.298,97.564,97.371,97.422,97.487,97.513,97.549,89.399,93.387,96.395,96.806,96.927
E14000576,97.691,98.174,98.268,98.572,98.531,98.225,98.633,98.438,95.152,93.359,95.883,98.006,98.373
E14000577,94.802,94.112,94.269,94.541,94.563,94.464,94.394,94.928,91.984,90.603,94.071,94.024,94.791
E14000578,95.525,96.708,96.911,97.117,96.538,96.660,97.052,97.143,94.470,94.000,95.297,96.271,97.243
E14000579,95.497,95.955,96.619,96.280,96.985,97.057,97.268,97.208,96.068,93.411,96.684,96.041,96.726
E14000580,97.142,97.167,98.056,98.242,98.225,98.127,98.221,98.055,95.579,95.602,95.887,97.226,97.533
E14000581,97.185,97.913,97.544,98.031,97.778,98.220,98.020,98.343,98.284,96.853,96.488,97.470,97.962
E14000582,74.582,75.530,75.192,76.368,74.752,75.492,75.172,75.140,74.493,71.892,73.403,75.090,74.449
E14000583,89.930,89.951,89.278,90.378,90.766,89.666,90.365,90.823,85.335,87.021,91.103,89.375,90.683
E14000584,96.561,98.607,98.553,98.698,98.881,98.359,98.714,98.560,95.026,93.294,97.830,98.098,98.531
E14000585,98.349,98.033,98.346,98.869,98.721,98.521,98.766,98.659,96.643,95.887,97.851,98.507,95.182
E14000586,98.335,98.148,98.835,96.390,98.719,98.485,98.374,98.847,94.675,94.380,97.141,95.414,97.879
E14000587,98.069,98.345,97.877,98.482,98.427,98.453,98.714,98.352,97.448,95.353,97.795,98.755,98.081
E14000588,96.544,97.232,97.338,98.161,94.580,96.887,97.426,96.880,95.704,94.008,96.783,96.729,97.735
E14000589,97.111,98.392,98.923,99.283,99.035,98.920,98.717,99.110,98.513,96.840,98.356,98.164,99.077
E14000590,77.071,75.454,75.936,77.514,77.524,79.113,78.061,77.624,74.968,74.255,77.809,76.531,77.431
E14000591,97.015,97.944,98.066,98.390,98.541,98.415,98.261,98.322,97.325,96.616,97.596,96.385,98.076
E14000592,96.492,97.896,96.939,98.258,98.227,98.014,98.078,98.093,93.943,94.861,96.737,96.685,97.896
E14000593,98.490,97.070,99.074,99.097,98.905,98.899,98.832,98.933,96.857,94.898,96.455,97.840,98.937
E14000594,89.384,90.053,89.392,90.422,89.681,89.578,89.819,90.445,88.157,83.752,89.320,87.852,89.369
E14000595,71.983,72.211,74.227,75.965,73.441,73.744,74.049,72.717,74.149,68.397,72.549,73.915,73.748
E14000596,51.530,51.885,50.483,53.632,49.444,51.436,50.770,51.316,56.010,55.509,59.064,58.066,58.638
E14000597,96.486,96.400,98.524,99.110,98.892,98.944,99.052,98.977,98.416,97.050,94.501,97.936,98.603
E14000598,96.843,97.310,97.254,95.513,97.638,97.600,98.447,98.045,94.976,94.904,96.831,97.465,97.497
E14000599,96.159,90.841,96.177,96.498,96.215,94.361,96.436,96.514,93.826,93.051,94.848,94.716,95.857
E14000600,94.583,96.939,94.951,97.761,97.726,97.486,98.011,98.103,94.912,93.986,93.876,96.182,96.715
E14000601,94.121,93.994,95.244,94.684,94.486,95.143,94.880,95.191,92.323,92.038,92.107,94.834,94.129
E14000602,96.001,96.261,89.219,97.400,96.542,97.099,96.618,96.840,95.724,91.004,95.446,96.852,96.249
E14000603,60.042,61.129,58.817,60.726,58.818,60.743,60.982,60.349,58.398,56.498,59.920,60.848,60.013
E14000604,94.668,96.137,97.193,96.599,96.932,97.317,96.078,97.304,92.132,90.901,95.136,94.924,96.615
E14000605,86.398,87.385,84.978,86.347,86.962,87.034,86.759,85.571,82.621,80.332,85.592,85.874,86.124
E14000606,98.655,98.783,99.038,98.865,99.005,98.236,98.332,98.512,94.502,95.846,98.340,98.158,98.651
E14000607,98.192,98.393,98.484,98.547,98.785,98.808,98.510,98.841,93.763,91.852,97.049,98.475,96.969
E14000608,60.672,59.826,62.693,62.457,61.741,61.509,63.383,62.542,62.580,58.599,62.527,61.989,61.361
E14000609,98.489,96.560,98.819,98.911,96.002,98.401,98.485,98.831,96.136,96.525,97.815,98.175,98.788
E14000610,85.545,85.691,86.781,86.166,85.962,84.795,86.204,86.586,84.429,83.321,85.084,85.477,85.241
E14000611,96.051,95.827,96.290,97.590,97.498,97.654,97.512,97.526,95.479,93.733,95.865,95.638,96.699
E14000612,94.646,94.141,95.217,95.525,95.469,94.951,95.835,95.932,94.949,93.976,93.000,94.674,95.198
E14000613,60.202,62.342,62.597,62.555,62.713,63.250,64.665,61.018,58.589,59.618,61.166,61.852,62.738
E14000614,97.952,97.947,98.727,97.208,98.402,98.188,98.332,98.737,94.702,94.389,96.696,98.096,98.632
E14000615,95.983,97.347,96.982,97.265,98.046,97.880,97.909,97.771,96.843,95.765,97.243,97.474,98.006
E14000616,91.152,91.878,93.912,93.948,93.727,93.967,92.869,93.793,91.746,91.638,92.969,92.496,93.906
E14000617,94.252,95.652,95.642,96.155,95.413,95.656,96.119,95.604,93.155,91.266,93.809,93.829,94.296
E14000618,94.259,95.230,95.744,95.578,95.338,95.261,95.826,95.435,93.042,91.949,93.792,94.801,92.499
E14000619,81.572,83.063,84.494,84.537,83.652,84.170,82.852,84.874,80.407,75.863,81.305,83.629,83.256
E14000620,91.904,91.839,91.600,92.632,97.429,88.107,92.909,92.771,89.757,87.971,92.454,92.071,92.128
E14000621,97.294,97.824,98.097,97.511,98.222,98.142,97.966,97.734,96.891,95.739,96.933,97.887,97.978
E14000622,97.724,98.606,98.296,98.305,98.864,98.731,98.393,98.683,96.625,94.855,97.349,98.064,98.621
E14000623,67.489,68.778,66.657,68.401,66.541,68.011,68.211,67.350,66.857,61.940,67.905,68.315,67.958
E14000624,59.436,61.158,60.448,61.203,61.207,61.413,61.620,61.267,59.301,57.999,61.645,62.177,60.418
E14000625,98.507,98.043,98.359,98.264,98.640,98.904,98.868,98.745,95.089,93.854,98.038,96.598,98.766
E14000626,92.108,91.484,92.130,92.236,92.545,92.073,92.575,92.849,90.898,90.645,91.380,91.071,92.513
E14000627,96.682,96.750,96.866,97.115,97.121,97.447,97.092,96.490,95.260,90.646,93.861,96.095,96.153
E14000628,95.513,95.102,95.680,96.232,95.622,95.697,96.244,95.886,92.646,91.773,95.798,95.730,95.691
E14000629,98.215,98.765,98.468,98.961,99.307,98.570,99.137,99.067,97.972,97.451,98.201,97.591,95.976
E14000630,99.002,94.189,99.055,99.307,98.968,99.090,98.850,99.062,95.250,92.467,97.323,98.426,98.840
E14000631,94.144,97.453,97.487,98.175,98.059,97.696,98.281,98.305,93.909,89.844,96.742,97.527,97.712
E14000632,98.106,97.832,98.508,98.132,98.327,98.358,98.333,98.141,94.661,93.185,96.083,98.098,98.070
E14000633,81.412,80.354,80.631,80.339,81.284,80.661,81.444,80.982,79.205,77.041,81.667,80.998,82.088
E14000634,96.472,97.193,96.927,96.927,97.584,96.996,97.347,97.750,95.753,94.253,94.700,97.166,96.933
E14000635,95.479,95.412,95.967,95.864,93.801,94.700,94.255,96.269,92.516,89.669,95.579,96.209,95.861
E14000636,96.308,98.311,98.573,97.012,98.537,97.077,98.421,98.794,96.897,95.437,98.455,96.842,98.606
E14000637,96.046,97.090,95.104,97.146,97.241,97.405,97.287,97.545,96.633,94.554,95.080,95.727,97.093
E14000638,98.618,98.882,99.155,98.871,99.132,98.821,98.688,99.043,95.123,94.901,97.951,97.694,99.122
E14000639,98.210,98.098,98.027,97.593,95.915,98.269,98.833,98.653,97.646,95.443,98.095,97.751,97.934
E14000640,90.494,91.416,92.896,91.739,92.202,92.690,92.249,92.511,86.484,88.281,91.341,91.486,91.586
E14000641,97.658,97.966,98.254,97.962,98.337,98.288,98.412,98.517,96.507,95.986,96.765,98.512,98.891
E14000642,96.576,97.047,97.234,97.387,97.473,97.319,97.389,97.300,95.725,94.012,96.291,97.553,96.332
E14000643,85.343,86.303,88.138,86.871,86.889,86.700,87.164,87.997,83.025,83.050,85.870,86.319,86.608
E14000644,94.194,89.928,91.652,92.497,92.411,92.392,92.999,93.198,90.834,90.370,91.292,92.739,91.923
E14000645,97.181,97.215,97.141,97.422,97.254,97.328,97.429,97.459,94.677,93.877,96.787,95.753,97.624
E14000646,85.715,87.856,88.695,85.943,88.711,89.343,87.836,88.634,84.871,85.429,87.585,86.521,88.012
E14000647,84.236,85.042,85.340,84.298,85.593,86.323,85.876,87.129,85.215,85.043,86.795,84.056,86.740
E14000648,86.911,86.664,87.188,86.764,86.948,87.240,86.019,88.105,83.796,85.690,86.883,87.788,87.498
E14000649,94.836,95.475,95.387,96.239,95.827,96.071,96.249,96.400,93.366,94.172,94.125,94.971,95.454
E14000650,92.702,93.626,94.231,94.741,94.872,94.176,94.794,94.890,88.902,92.417,93.783,94.708,94.716
E14000651,95.786,96.059,96.581,96.143,96.865,96.441,96.290,96.434,91.915,95.224,96.301,95.921,96.108
E14000652,98.204,98.114,98.408,98.523,98.504,98.518,98.453,98.533,95.335,92.133,96.812,98.179,98.212
E14000653,96.200,94.565,96.759,96.943,96.825,96.989,90.839,97.264,95.589,92.753,94.877,96.425,97.178
E14000654,94.200,93.664,91.088,94.303,93.808,94.196,94.548,94.573,94.724,92.359,95.294,94.452,95.359
E14000655,95.100,95.763,96.514,96.840,96.989,97.459,97.680,97.802,96.011,95.379,96.431,96.908,97.230
E14000656,92.391,92.653,94.404,93.095,93.326,93.563,93.819,93.873,92.195,88.465,91.706,93.354,93.653
E14000657,96.877,95.459,97.298,97.361,97.670,96.495,97.880,98.074,94.329,95.690,97.288,96.880,97.870
E14000658,98.273,98.419,99.154,99.166,99.190,98.938,99.181,99.126,96.095,96.461,97.221,98.098,98.953
E14000659,95.448,92.423,95.498,95.514,94.580,95.547,95.407,93.695,93.126,91.543,92.793,95.409,94.694
E14000660,68.000,69.179,69.348,69.323,68.703,69.913,66.917,68.406,67.891,66.047,68.330,68.516,69.092
E14000661,96.136,96.877,97.681,97.864,96.914,97.027,98.216,98.283,97.287,96.144,98.033,95.007,97.060
E14000662,97.603,97.336,97.906,98.078,98.298,98.204,97.867,98.303,96.719,92.933,96.249,97.607,97.360
E14000663,95.052,95.586,95.397,94.892,95.239,94.985,95.293,95.141,92.261,92.644,94.399,94.429,94.544
E14000664,54.894,55.766,57.474,55.993,55.680,56.364,55.695,57.011,54.298,53.407,55.334,57.133,57.481
E14000665,71.383,71.570,72.601,71.792,71.627,71.897,71.677,72.310,68.187,66.044,70.314,71.563,71.216
E14000666,98.199,98.523,98.673,98.781,98.485,98.243,98.685,98.625,95.047,96.900,97.766,98.544,98.065
E14000667,91.635,93.124,92.458,93.000,93.366,93.047,92.481,93.336,92.427,90.920,91.192,92.353,92.630
E14000668,97.651,96.803,97.505,97.949,97.970,97.822,97.606,97.749,95.727,93.658,95.562,96.806,97.898
E14000669,96.484,98.022,96.975,97.923,97.836,97.533,97.488,97.180,95.845,94.154,95.793,97.281,96.927
E14000670,87.139,88.080,88.051,88.536,87.072,87.771,88.688,88.475,86.995,83.130,88.467,86.539,88.932
E14000671,96.195,96.353,96.704,97.382,97.594,97.327,97.674,97.559,94.029,93.352,96.433,96.495,97.718
E14000672,93.818,95.794,96.446,96.034,96.845,96.117,96.244,96.777,95.497,90.387,96.205,94.989,96.063
E14000673,96.335,98.190,97.109,98.435,97.927,98.377,98.297,96.537,97.600,96.193,97.943,96.765,98.308
E14000674,98.867,98.999,99.279,99.235,98.764,98.999,98.681,99.235,97.610,96.110,98.581,98.882,98.394
E14000675,98.493,98.176,99.000,98.853,98.930,99.016,99.041,98.874,95.325,96.845,97.586,98.346,98.486
E14000676,98.070,98.044,98.552,99.056,98.823,98.570,98.498,98.887,96.599,96.194,98.326,97.981,98.335
E14000677,98.752,98.769,99.196,99.021,98.917,98.611,99.094,99.077,98.425,96.808,97.932,98.304,98.122
E14000678,93.213,91.408,93.447,94.311,94.145,93.846,94.034,93.882,89.322,87.724,92.839,93.809,93.566
E14000679,98.175,98.520,98.976,98.843,98.926,98.794,98.734,98.608,97.686,96.574,97.838,97.904,98.855
E14000680,91.501,92.465,92.468,92.847,92.878,92.592,92.695,92.189,88.188,84.900,91.806,92.112,93.130
E14000681,95.251,95.969,96.423,96.275,95.981,96.255,95.956,96.953,95.159,89.968,95.159,95.881,96.092
E14000682,97.398,97.822,96.168,98.639,98.602,98.264,98.366,97.759,95.011,92.417,96.677,97.756,98.111
E14000683,78.473,80.611,82.381,82.630,83.247,82.925,83.743,83.000,78.613,79.791,81.720,83.247,82.865
E14000684,97.793,97.848,97.784,98.286,98.278,98.037,98.209,98.267,95.314,96.438,93.581,97.070,98.099
E14000685,91.420,95.537,96.675,98.174,97.780,95.881,98.408,98.097,93.817,89.337,96.561,92.049,97.323
E14000686,81.295,81.018,82.103,81.621,81.642,80.328,81.710,81.245,78.817,78.033,79.667,80.841,81.370
E14000687,95.972,96.221,96.639,97.682,97.620,97.357,97.249,97.697,96.407,93.717,94.519,96.700,97.594
E14000688,95.084,95.612,93.961,96.166,95.602,96.090,96.596,96.561,95.115,92.573,94.264,95.465,95.599
E14000689,86.392,86.245,86.701,86.006,87.246,86.348,85.959,87.164,83.417,82.178,87.060,87.075,87.001
E14000690,94.833,96.666,95.925,96.920,96.886,96.758,96.015,96.491,96.194,91.072,95.132,96.949,94.779
E14000691,93.804,95.638,95.092,95.425,95.279,96.258,95.136,96.400,91.458,88.407,91.790,92.601,95.332
E14000692,96.689,94.844,96.497,96.299,96.709,95.308,96.547,96.779,95.750,93.901,95.710,97.098,94.760
E14000693,97.041,98.928,98.585,99.266,99.133,99.224,98.620,99.368,97.789,95.453,98.199,96.784,98.720
E14000694,97.380,95.388,97.359,97.968,97.972,97.993,98.013,97.761,93.675,93.261,96.757,96.545,97.912
E14000695,97.842,98.196,98.394,98.421,98.503,98.416,98.250,98.455,93.749,94.458,96.807,98.144,98.609
E14000696,97.385,96.577,96.331,98.160,98.194,97.832,98.118,98.261,96.743,95.566,96.664,97.476,98.077
E14000697,97.806,97.039,97.992,98.716,98.659,98.550,98.380,98.267,93.868,95.266,96.639,97.811,98.000
E14000698,97.493,97.697,97.836,95.582,96.920,97.780,97.857,98.021,92.956,94.162,96.483,97.438,98.003
E14000699,98.476,98.465,98.822,99.020,98.926,98.925,98.845,98.903,92.637,91.741,97.971,97.963,98.652
E14000700,72.641,74.271,74.038,72.940,76.016,75.217,75.932,74.038,73.297,72.106,76.500,75.495,76.231
E14000701,97.729,98.773,98.643,98.913,98.427,98.719,98.508,98.851,97.377,95.909,97.148,97.642,98.722
E14000702,95.815,97.698,97.896,98.058,98.128,97.895,97.922,97.858,95.282,90.662,95.965,95.553,97.722
E14000703,97.140,96.771,96.910,97.163,97.221,97.760,98.111,98.338,95.673,95.212,97.287,96.371,98.189
E14000704,87.285,87.910,86.549,89.607,89.553,88.553,88.740,89.078,86.756,84.853,86.176,88.320,88.146
E14000705,67.423,68.397,67.880,67.819,69.620,69.188,69.896,70.489,68.846,67.064,67.725,70.428,70.474
