PCON24CD,public-jan-25,workplace-jan-25,home-2022,total
E14001063,143,82,483,708
E14001064,22,116,489,627
E14001065,41,196,1007,1244
E14001066,47,78,401,526
E14001067,87,149,1565,1801
E14001068,48,126,505,679
E14001069,110,44,312,466
E14001070,31,52,219,302
E14001071,52,82,725,859
E14001072,168,227,1010,1405
E14001073,63,55,166,284
E14001074,70,60,283,413
E14001075,45,61,286,392
E14001076,98,34,156,288
E14001077,55,111,450,616
E14001078,94,24,185,303
E14001079,90,66,388,544
E14001080,57,30,275,362
E14001081,532,23,149,704
E14001082,120,69,610,799
E14001083,57,20,342,419
E14001084,123,14,72,209
E14001085,410,30,113,553
E14001086,124,16,37,177
E14001087,87,104,656,847
E14001088,31,28,525,584
E14001089,76,44,432,552
E14001090,165,220,948,1333
E14001091,37,38,329,404
E14001092,98,77,372,547
E14001093,88,66,318,472
E14001094,112,50,244,406
E14001095,19,60,301,380
E14001096,339,67,325,731
E14001097,29,65,315,409
E14001098,101,65,311,477
E14001099,70,57,274,401
E14001100,39,52,250,341
E14001101,76,310,1577,1963
E14001102,46,42,161,249
E14001103,52,90,252,394
E14001104,41,24,126,191
E14001105,95,59,219,373
E14001106,34,98,411,543
E14001107,99,5,42,146
E14001108,123,12,165,300
E14001109,107,125,528,760
E14001110,16,63,328,407
E14001111,40,72,290,402
E14001112,21,120,619,760
E14001113,14,15,226,255
E14001114,82,148,358,588
E14001115,46,36,286,368
E14001116,57,37,295,389
E14001117,135,71,383,589
E14001118,65,34,153,252
E14001119,48,54,245,347
E14001120,33,43,196,272
E14001121,100,126,746,972
E14001122,443,79,383,905
E14001123,288,81,392,761
E14001124,293,111,300,704
E14001125,45,121,1167,1333
E14001126,70,34,242,346
E14001127,57,139,876,1072
E14001128,70,174,652,896
E14001129,94,42,359,495
E14001130,242,37,324,603
E14001131,54,37,137,228
E14001132,45,77,281,403
E14001133,48,53,203,304
E14001134,45,145,529,719
E14001135,17,78,285,380
E14001136,93,155,891,1139
E14001137,59,40,699,798
E14001138,126,169,1084,1379
E14001139,68,61,574,703
E14001140,53,74,513,640
E14001141,113,194,1538,1845
E14001142,59,79,289,427
E14001143,84,130,463,677
E14001144,33,130,598,761
E14001145,22,103,458,583
E14001146,171,112,352,635
E14001147,93,254,845,1192
E14001148,104,46,172,322
E14001149,342,81,404,827
E14001150,61,130,454,645
E14001151,81,97,636,814
E14001152,134,49,251,434
E14001153,103,50,556,709
E14001154,9,62,500,571
E14001155,79,93,854,1026
E14001156,77,160,575,812
E14001157,38,41,252,331
E14001158,28,117,683,828
E14001159,61,13,128,202
E14001160,1377,60,90,1527
E14001161,170,101,570,841
E14001162,67,60,535,662
E14001163,105,56,351,512
E14001164,62,324,2423,2809
E14001165,97,113,339,549
E14001166,78,38,394,510
E14001167,190,30,366,586
E14001168,92,41,303,436
E14001169,117,68,1576,1761
E14001170,79,104,659,842
E14001171,84,78,617,779
E14001172,1556,97,189,1842
E14001173,123,50,255,428
E14001174,32,44,332,408
E14001175,195,29,118,342
E14001176,50,21,126,197
E14001177,52,181,945,1178
E14001178,35,73,710,818
E14001179,86,0,1141,1227
E14001180,645,101,313,1059
E14001181,741,136,421,1298
E14001182,886,110,342,1338
E14001183,78,196,703,977
E14001184,148,182,388,718
E14001185,74,31,302,407
E14001186,93,39,411,543
E14001187,95,56,584,735
E14001188,145,21,224,390
E14001189,71,71,401,543
E14001190,89,70,293,452
E14001191,119,125,493,737
E14001192,106,624,1738,2468
E14001193,49,100,401,550
E14001194,121,106,425,652
E14001195,85,154,911,1150
E14001196,29,57,297,383
E14001197,86,119,945,1150
E14001198,92,44,241,377
E14001199,41,111,588,740
E14001200,36,96,518,650
E14001201,86,110,1152,1348
E14001202,71,25,345,441
E14001203,115,102,739,956
E14001204,35,73,405,513
E14001205,445,54,211,710
E14001206,121,23,269,413
E14001207,583,106,304,993
E14001208,220,101,385,706
E14001209,207,71,271,549
E14001210,125,62,594,781
E14001211,36,34,173,243
E14001212,189,130,1076,1395
E14001213,77,41,36,154
E14001214,21,144,1278,1443
E14001215,41,63,884,988
E14001216,54,13,157,224
E14001217,135,251,1541,1927
E14001218,72,85,491,648
E14001219,63,27,276,366
E14001220,73,84,573,730
E14001221,100,29,305,434
E14001222,32,29,225,286
E14001223,66,56,425,547
E14001224,97,168,813,1078
E14001225,82,53,565,700
E14001226,66,45,423,534
E14001227,119,38,724,881
E14001228,32,57,299,388
E14001229,59,59,414,532
E14001230,39,77,836,952
E14001231,138,127,285,550
E14001232,207,91,364,662
E14001233,38,57,549,644
E14001234,66,48,573,687
E14001235,81,160,889,1130
E14001236,146,143,347,636
E14001237,185,36,182,403
E14001238,214,35,820,1069
E14001239,130,51,300,481
E14001240,80,78,629,787
E14001241,58,83,665,806
E14001242,62,61,545,668
E14001243,42,74,634,750
E14001244,159,61,248,468
E14001245,88,28,372,488
E14001246,116,25,157,298
E14001247,96,80,565,741
E14001248,99,120,472,691
E14001249,86,133,1500,1719
E14001250,40,105,658,803
E14001251,32,62,199,293
E14001252,47,31,396,474
E14001253,72,124,813,1009
E14001254,66,52,414,532
E14001255,40,26,82,148
E14001256,83,56,253,392
E14001257,166,38,197,401
E14001258,119,74,616,809
E14001259,554,10,37,601
E14001260,416,9,33,458
E14001261,31,82,413,526
E14001262,27,51,171,249
E14001263,108,100,842,1050
E14001264,1414,83,125,1622
E14001265,363,36,323,722
E14001266,103,97,555,755
E14001267,56,145,546,747
E14001268,82,238,1995,2315
E14001269,175,14,73,262
E14001270,36,66,708,810
E14001271,50,43,507,600
E14001272,34,53,375,462
E14001273,31,124,794,949
E14001274,44,30,302,376
E14001275,41,52,519,612
E14001276,119,183,484,786
E14001277,32,182,1066,1280
E14001278,86,46,347,479
E14001279,172,38,895,1105
E14001280,69,97,1270,1436
E14001281,65,86,359,510
E14001282,51,71,699,821
E14001283,89,27,346,462
E14001284,127,174,1369,1670
E14001285,206,224,1663,2093
E14001286,62,116,372,550
E14001287,58,67,555,680
E14001288,86,148,901,1135
E14001289,44,101,706,851
E14001290,297,23,205,525
E14001291,112,106,662,880
E14001292,29,70,621,720
E14001293,141,20,297,458
E14001294,105,82,807,994
E14001295,30,126,558,714
E14001296,190,31,269,490
E14001297,22,51,268,341
E14001298,91,228,937,1256
E14001299,70,146,259,475
E14001300,88,41,689,818
E14001301,105,27,328,460
E14001302,100,161,303,564
E14001303,62,44,174,280
E14001304,49,102,399,550
E14001305,332,19,54,405
E14001306,372,20,57,449
E14001307,47,73,347,467
E14001308,44,205,917,1166
E14001309,127,323,2145,2595
E14001310,987,30,169,1186
E14001311,125,0,565,690
E14001312,282,130,665,1077
E14001313,21,116,197,334
E14001314,94,79,143,316
E14001315,77,57,110,244
E14001316,17,65,509,591
E14001317,31,43,371,445
E14001318,132,88,701,921
E14001319,117,42,183,342
E14001320,71,120,521,712
E14001321,11,81,352,444
E14001322,34,178,769,981
E14001323,188,80,347,615
E14001324,135,118,511,764
E14001325,35,73,317,425
E14001326,35,74,178,287
E14001327,84,66,159,309
E14001328,89,113,271,473
E14001329,46,67,433,546
E14001330,163,83,686,932
E14001331,86,14,225,325
E14001332,98,11,169,278
E14001333,430,22,160,612
E14001334,393,23,318,734
E14001335,49,166,801,1016
E14001336,160,90,303,553
E14001337,68,80,387,535
E14001338,159,51,246,456
E14001339,114,54,281,449
E14001340,186,47,225,458
E14001341,81,39,200,320
E14001342,56,80,547,683
E14001343,57,94,389,540
E14001344,39,26,108,173
E14001345,19,84,243,346
E14001346,85,106,510,701
E14001347,28,105,1017,1150
E14001348,84,185,1341,1610
E14001349,64,30,189,283
E14001350,22,73,465,560
E14001351,28,105,887,1020
E14001352,259,84,238,581
E14001353,55,53,146,254
E14001354,41,66,180,287
E14001355,56,92,406,554
E14001356,53,63,461,577
E14001357,33,96,798,927
E14001358,258,249,1423,1930
E14001359,150,109,1153,1412
E14001360,39,226,1993,2258
E14001361,27,50,327,404
E14001362,67,154,725,946
E14001363,39,70,567,676
E14001364,82,100,565,747
E14001365,76,103,468,647
E14001366,97,85,685,867
E14001367,95,76,253,424
E14001368,31,116,511,658
E14001369,352,115,493,960
E14001370,302,390,1660,2352
E14001371,324,38,367,729
E14001372,123,125,574,822
E14001373,83,80,621,784
E14001374,60,72,560,692
E14001375,102,148,1202,1452
E14001376,177,157,829,1163
E14001377,150,66,396,612
E14001378,44,98,377,519
E14001379,94,87,419,600
E14001380,110,68,293,471
E14001381,56,25,226,307
E14001382,86,57,289,432
E14001383,23,217,829,1069
E14001384,77,248,1603,1928
E14001385,230,219,819,1268
E14001386,125,221,1145,1491
E14001387,138,75,401,614
E14001388,66,83,698,847
E14001389,57,53,271,381
E14001390,20,84,395,499
E14001391,24,129,594,747
E14001392,151,118,1343,1612
E14001393,63,170,1455,1688
E14001394,51,98,791,940
E14001395,54,168,697,919
E14001396,95,58,438,591
E14001397,207,136,1065,1408
E14001398,107,56,482,645
E14001399,65,128,904,1097
E14001400,104,156,521,781
E14001401,88,302,750,1140
E14001402,91,146,1295,1532
E14001403,75,131,990,1196
E14001404,65,262,786,1113
E14001405,109,68,331,508
E14001406,58,26,67,151
E14001407,85,43,110,238
E14001408,56,74,132,262
E14001409,96,142,191,429
E14001410,162,73,215,450
E14001411,46,94,370,510
E14001412,105,109,322,536
E14001413,25,68,458,551
E14001414,105,55,532,692
E14001415,42,143,513,698
E14001416,60,42,152,254
E14001417,78,59,1019,1156
E14001418,51,172,761,984
E14001419,98,58,347,503
E14001420,154,68,431,653
E14001421,639,30,110,779
E14001422,47,74,358,479
E14001423,39,310,1383,1732
E14001424,92,113,534,739
E14001425,68,219,409,696
E14001426,81,66,244,391
E14001427,162,40,149,351
E14001428,71,103,394,568
E14001429,51,43,338,432
E14001430,219,22,50,291
E14001431,67,63,208,338
E14001432,84,31,103,218
E14001433,60,52,170,282
E14001434,473,35,224,732
E14001435,1226,31,129,1386
E14001436,41,72,361,474
E14001437,34,36,273,343
E14001438,243,79,381,703
E14001439,127,141,737,1005
E14001440,50,25,140,215
E14001441,33,151,732,916
E14001442,51,62,837,950
E14001443,98,235,1225,1558
E14001444,101,195,1021,1317
E14001445,631,79,813,1523
E14001446,29,129,413,571
E14001447,59,121,752,932
E14001448,48,37,325,410
E14001449,78,145,998,1221
E14001450,54,183,781,1018
E14001451,52,137,678,867
E14001452,82,50,249,381
E14001453,127,107,795,1029
E14001454,38,148,621,807
E14001455,53,161,815,1029
E14001456,153,183,1275,1611
E14001457,89,54,1015,1158
E14001458,84,166,1176,1426
E14001459,125,89,269,483
E14001460,62,105,768,935
E14001461,139,75,396,610
E14001462,58,45,231,334
E14001463,31,52,780,863
E14001464,20,135,627,782
E14001465,77,96,797,970
E14001466,52,40,173,265
E14001467,134,18,76,228
E14001468,5,197,838,1040
E14001469,29,40,171,240
E14001470,73,67,289,429
E14001471,104,95,723,922
E14001472,50,118,529,697
E14001473,89,24,207,320
E14001474,49,64,298,411
E14001475,133,208,1090,1431
E14001476,29,140,637,806
E14001477,87,166,282,535
E14001478,37,69,166,272
E14001479,91,73,417,581
E14001480,32,125,520,677
E14001481,124,383,1288,1795
E14001482,278,140,858,1276
E14001483,64,85,829,978
E14001484,100,92,572,764
E14001485,83,36,307,426
E14001486,94,121,454,669
E14001487,50,96,494,640
E14001488,83,249,997,1329
E14001489,90,69,675,834
E14001490,102,522,1409,2033
E14001491,76,154,774,1004
E14001492,83,66,327,476
E14001493,157,132,1136,1425
E14001494,128,89,559,776
E14001495,63,84,393,540
E14001496,88,144,1058,1290
E14001497,47,117,509,673
E14001498,76,69,501,646
E14001499,52,52,223,327
E14001500,37,56,241,334
E14001501,33,45,671,749
E14001502,23,26,378,427
E14001503,128,33,359,520
E14001504,31,54,526,611
E14001505,62,77,512,651
E14001506,56,65,340,461
E14001507,51,69,649,769
E14001508,151,50,188,389
E14001509,24,97,487,608
E14001510,32,62,321,415
E14001511,102,96,358,556
E14001512,69,193,664,926
E14001513,69,157,801,1027
E14001514,37,29,468,534
E14001515,17,113,477,607
E14001516,132,136,423,691
E14001517,78,75,438,591
E14001518,78,138,482,698
E14001519,29,227,828,1084
E14001520,50,83,260,393
E14001521,15,80,266,361
E14001522,49,88,373,510
E14001523,106,105,780,991
E14001524,129,75,419,623
E14001525,112,40,48,200
E14001526,131,177,1127,1435
E14001527,163,34,213,410
E14001528,122,180,925,1227
E14001529,130,105,635,870
E14001530,112,163,671,946
E14001531,387,52,233,672
E14001532,107,121,1133,1361
E14001533,52,79,770,901
E14001534,101,36,397,534
E14001535,45,152,728,925
E14001536,57,113,517,687
E14001537,81,36,165,282
E14001538,41,176,934,1151
E14001539,97,176,1283,1556
E14001540,73,33,233,339
E14001541,45,36,164,245
E14001542,60,167,836,1063
E14001543,62,188,926,1176
E14001544,155,203,1064,1422
E14001545,72,337,1683,2092
E14001546,145,56,236,437
E14001547,42,86,231,359
E14001548,76,122,901,1099
E14001549,55,161,1115,1331
E14001550,468,28,182,678
E14001551,39,35,240,314
E14001552,90,68,440,598
E14001553,140,16,184,340
E14001554,72,74,277,423
E14001555,62,67,692,821
E14001556,454,42,612,1108
E14001557,51,176,520,747
E14001558,87,164,434,685
E14001559,319,27,109,455
E14001560,70,98,396,564
E14001561,47,30,260,337
E14001562,47,70,294,411
E14001563,426,20,176,622
E14001564,50,212,865,1127
E14001565,109,168,686,963
E14001566,107,81,535,723
E14001567,130,116,499,745
E14001568,498,104,453,1055
E14001569,56,184,998,1238
E14001570,49,194,1550,1793
E14001571,52,0,200,252
E14001572,98,140,988,1226
E14001573,220,161,676,1057
E14001574,58,113,270,441
E14001575,107,105,881,1093
E14001576,102,77,69,248
E14001577,110,98,597,805
E14001578,161,243,681,1085
E14001579,63,120,847,1030
E14001580,319,152,612,1083
E14001581,54,40,282,376
E14001582,94,405,1822,2321
E14001583,70,29,149,248
E14001584,35,93,493,621
E14001585,31,77,493,601
E14001586,503,58,473,1034
E14001587,141,153,1118,1412
E14001588,103,160,828,1091
E14001589,59,103,892,1054
E14001590,64,125,744,933
E14001591,109,160,988,1257
E14001592,196,68,838,1102
E14001593,166,125,1603,1894
E14001594,17,77,258,352
E14001595,32,82,290,404
E14001596,49,92,292,433
E14001597,159,64,510,733
E14001598,92,196,667,955
E14001599,124,48,490,662
E14001600,60,58,518,636
E14001601,40,62,523,625
E14001602,56,135,445,636
E14001603,73,38,273,384
E14001604,68,19,99,186
E14001605,90,188,973,1251
W07000081,21,60,382,463
W07000082,36,88,373,497
W07000083,161,79,575,815
W07000084,90,44,219,353
W07000085,81,97,369,547
W07000086,119,46,351,516
W07000087,132,57,624,813
W07000088,40,41,284,365
W07000089,34,55,330,419
W07000090,65,84,497,646
W07000091,84,42,317,443
W07000092,58,102,599,759
W07000093,178,88,318,584
W07000094,81,160,694,935
W07000095,74,12,72,158
W07000096,201,135,376,712
W07000097,94,117,838,1049
W07000098,67,9,108,184
W07000099,82,67,347,496
W07000100,210,67,197,474
W07000101,134,66,739,939
W07000102,114,128,409,651
W07000103,86,50,307,443
W07000104,154,66,471,691
W07000105,53,59,414,526
W07000106,104,46,239,389
W07000107,62,69,421,552
W07000108,59,12,87,158
W07000109,90,46,303,439
W07000110,193,40,793,1026
W07000111,84,101,302,487
W07000112,86,77,276,439
S14000060,104,116,449,669
S14000061,126,100,390,616
S14000062,59,45,333,437
S14000063,72,112,662,846
S14000064,62,48,340,450
S14000065,148,162,1411,1721
S14000066,83,46,264,393
S14000067,167,96,362,625
S14000107,115,90,741,946
S14000068,53,72,576,701
S14000108,66,68,531,665
S14000069,137,73,406,616
S14000109,64,14,112,190
S14000070,77,32,191,300
S14000071,52,21,194,267
S14000072,51,63,452,566
S14000073,242,55,292,589
S14000074,234,184,1341,1759
S14000075,237,85,314,636
S14000076,66,42,353,461
S14000077,83,40,314,437
S14000021,44,51,1000,1095
S14000078,219,26,214,459
S14000079,129,20,166,315
S14000080,37,33,273,343
S14000081,89,97,789,975
S14000082,199,109,879,1187
S14000083,91,84,607,782
S14000084,86,85,179,350
S14000085,156,84,177,417
S14000086,134,120,253,507
S14000087,31,80,170,281
S14000088,214,88,187,489
S14000089,47,56,119,222
S14000090,40,25,227,292
S14000091,79,82,607,768
S14000092,105,34,265,404
S14000093,95,37,362,494
S14000094,211,60,334,605
S14000110,93,30,293,416
S14000095,67,80,652,799
S14000096,290,61,796,1147
S14000097,37,43,838,918
S14000045,104,80,622,806
S14000098,114,51,354,519
S14000099,72,43,296,411
S14000027,57,8,19,84
S14000048,102,53,412,567
S14000100,67,115,1041,1223
S14000051,75,29,259,363
S14000101,88,68,275,431
S14000102,86,109,482,677
S14000103,139,51,339,529
S14000104,53,5,42,100
S14000105,227,98,828,1153
S14000111,90,131,958,1179
S14000106,73,55,223,351
N05000001,80,51,269,400
N05000002,27,54,277,358
N05000003,74,60,329,463
N05000004,32,50,258,340
N05000005,19,54,353,426
N05000006,42,47,257,346
N05000007,69,55,220,344
N05000008,28,5,21,54
N05000009,29,97,618,744
N05000010,26,61,176,263
N05000011,33,61,343,437
N05000012,45,49,298,392
N05000013,26,17,191,234
N05000014,52,132,780,964
N05000015,28,67,333,428
N05000016,13,73,753,839
N05000017,35,28,175,238
N05000018,22,54,230,306
