PCON24CD,AIR,BCE,BCQ,BCS,BCT,BST,FBT,FER,FTD,GAT,MET,PLT,RLY,RPL,RSE,STR,TMU,TXR,area_km2,BCT_density,MET_density,RLY_density,alltypes
E14001063,,,,,323.0,,,,,,,,4.0,,4.0,,,,145.88,2.21,,0.027,
E14001064,,,,,589.0,,,,,,,,,,,,,,144.45,4.08,,,
E14001065,,2.0,2.0,5.0,414.0,1.0,,,,,3.0,6.0,3.0,,6.0,,,5.0,143.04,2.89,0.02,0.021,
E14001066,,,,4.0,838.0,,,,,,,,3.0,,4.0,,,,344.94,2.43,,0.009,
E14001067,,,,4.0,1076.0,,,,,,,,4.0,,5.0,,,,2102.72,0.51,,0.002,
E14001068,,,,7.0,616.0,,,,,,,,2.0,,3.0,,,,275.13,2.24,,0.007,
E14001069,,,,,569.0,,1.0,1.0,1.0,,,,3.0,,6.0,,,4.0,573.77,0.99,,0.005,
E14001070,,2.0,3.0,10.0,501.0,1.0,,,,,7.0,14.0,3.0,,5.0,,18.0,5.0,82.22,6.09,0.09,0.036,
E14001071,,,,13.0,618.0,,,,,,,,2.0,,2.0,,,,514.68,1.2,,0.004,
E14001072,,,1.0,9.0,641.0,,,,,,,,4.0,,4.0,,,,1350.16,0.47,,0.003,
E14001073,,,,,239.0,,,,,,3.0,7.0,3.0,,5.0,,3.0,,49.4,4.84,0.06,0.061,
E14001074,,,,24.0,569.0,,,,,,,,2.0,,3.0,,,,212.89,2.67,,0.009,
E14001075,,,,,593.0,,,,,,,,5.0,,5.0,,,,213.82,2.77,,0.023,
E14001076,,,,6.0,538.0,,,2.0,,,9.0,,12.0,,40.0,,,,1722.42,0.31,0.01,0.007,
E14001077,,,,20.0,389.0,,,,,,,,1.0,,1.0,,,,160.05,2.43,,0.006,
E14001078,,,,16.0,468.0,,,,,,,,1.0,,1.0,,,,200.56,2.33,,0.005,
E14001079,,3.0,,16.0,880.0,,,,,,,,4.0,,6.0,,,,1116.16,0.79,,0.004,
E14001080,,,1.0,17.0,624.0,,,,,,,,2.0,,3.0,,,,188.78,3.31,,0.011,
E14001081,,,,,164.0,,1.0,1.0,1.0,,2.0,1.0,8.0,,6.0,,4.0,,23.76,6.9,0.08,0.337,
E14001082,,,,,516.0,,,,,,,,7.0,,11.0,,,,428.11,1.21,,0.016,
E14001083,,,,,339.0,,,,,,5.0,6.0,15.0,,19.0,,5.0,,58.63,5.78,0.09,0.256,
E14001084,,5.0,,21.0,496.0,,,,,,,,2.0,,2.0,,,12.0,78.55,6.31,,0.025,
E14001085,,,,,228.0,,2.0,2.0,3.0,,5.0,14.0,6.0,,9.0,,8.0,,21.38,10.66,0.23,0.281,
E14001086,,,,,139.0,,,,,,6.0,10.0,7.0,,8.0,,14.0,,17.56,7.92,0.34,0.399,
E14001087,,,,1.0,566.0,,,,,,,,2.0,,5.0,,,,2028.08,0.28,,0.001,
E14001088,,,1.0,1.0,631.0,,,,,,2.0,2.0,14.0,,17.0,,2.0,,1173.08,0.54,0.0,0.012,
E14001089,,,,,278.0,,,,,,,,4.0,,8.0,,,,56.44,4.93,,0.071,
E14001090,1.0,,,,603.0,,,,,1.0,,,8.0,,11.0,,,,1176.42,0.51,,0.007,
E14001091,,2.0,,14.0,517.0,,,1.0,1.0,,,,10.0,,11.0,,,18.0,90.84,5.69,,0.11,
E14001092,,,,,516.0,,,,,,1.0,2.0,2.0,,1.0,,,,79.56,6.49,0.01,0.025,
E14001093,,,,,506.0,,,,,,,,2.0,,1.0,,,,67.88,7.45,,0.029,
E14001094,,,,,341.0,,,,,,,,3.0,,2.0,,,,52.04,6.55,,0.058,
E14001095,,,,,444.0,,,,,,,,1.0,,,,,,66.43,6.68,,0.015,
E14001096,,,,15.0,643.0,,,,,,12.0,24.0,8.0,,10.0,,5.0,,69.14,9.3,0.17,0.116,
E14001097,,,,,518.0,,,,,,,,2.0,,,,,,66.85,7.75,,0.03,
E14001098,,,,,364.0,,,,,,1.0,2.0,3.0,,1.0,,1.0,,66.74,5.45,0.01,0.045,
E14001099,,,,,378.0,,,,,,,,3.0,,2.0,,,,58.17,6.5,,0.052,
E14001100,,,,,385.0,,,,,,,,4.0,,4.0,,,,53.37,7.21,,0.075,
E14001101,,,,3.0,1207.0,,,,,,,,6.0,,5.0,,,,3983.59,0.3,,0.002,
E14001102,,,,15.0,635.0,,,,,,,,4.0,,8.0,,,,113.03,5.62,,0.035,
E14001103,,,4.0,13.0,566.0,1.0,,,,,6.0,13.0,2.0,,5.0,,10.0,2.0,81.07,6.98,0.07,0.025,
E14001104,,,,5.0,561.0,,,,,,22.0,43.0,1.0,,2.0,,41.0,1.0,98.52,5.69,0.22,0.01,
E14001105,,,,2.0,594.0,,,,,,18.0,35.0,3.0,,7.0,,32.0,9.0,74.87,7.93,0.24,0.04,
E14001106,,,,17.0,754.0,,,,,,,,1.0,,,,,,341.67,2.21,,0.003,
E14001107,,,2.0,7.0,472.0,,,,,,,,,,4.0,,,,262.08,1.8,,,
E14001108,,,,,403.0,,,,,,,,3.0,,6.0,,,8.0,115.39,3.49,,0.026,
E14001109,,,,1.0,1001.0,,,,,,,,4.0,,5.0,,,,635.53,1.58,,0.006,
E14001110,,,,,555.0,,,,,,,,2.0,,4.0,,,9.0,116.61,4.76,,0.017,
E14001111,,3.0,1.0,23.0,591.0,2.0,,,,,,,5.0,,7.0,,,7.0,94.91,6.23,,0.053,
E14001112,,,,,600.0,,,,,,,,5.0,,7.0,,,,219.4,2.73,,0.023,
E14001113,,1.0,,6.0,393.0,,,1.0,,,,,4.0,,5.0,,,21.0,72.83,5.4,,0.055,
E14001114,,,,16.0,1153.0,,,,,,,,7.0,,4.0,,,,2255.69,0.51,,0.003,
E14001115,,,,5.0,396.0,,,,,,,,2.0,,2.0,,,,63.95,6.19,,0.031,
E14001116,,,,17.0,548.0,,,,,,,,1.0,,1.0,,,,66.03,8.3,,0.015,
E14001117,,,,9.0,328.0,,,,,,,,4.0,,8.0,,,21.0,120.29,2.73,,0.033,
E14001118,,,,,579.0,,,,,,,,1.0,,,,,,79.03,7.33,,0.013,
E14001119,,,,,569.0,,,,,,,,1.0,,,,,,126.21,4.51,,0.008,
E14001120,,,,29.0,509.0,,,,,,,,2.0,,6.0,,,,100.79,5.05,,0.02,
E14001121,,,,5.0,661.0,,,,,,,,3.0,,3.0,,,,1359.43,0.49,,0.002,
E14001122,,,,,296.0,,,,,,5.0,7.0,2.0,,2.0,,6.0,,47.19,6.27,0.11,0.042,
E14001123,,,,,238.0,,,,,,10.0,19.0,8.0,,10.0,,8.0,,48.27,4.93,0.21,0.166,
E14001124,,,,,303.0,,,,,,4.0,7.0,6.0,,5.0,,5.0,,58.78,5.15,0.07,0.102,
E14001125,,,,1.0,547.0,,,,,,,,4.0,,4.0,,,,821.32,0.67,,0.005,
E14001126,,,,9.0,658.0,,1.0,1.0,1.0,,,,2.0,,2.0,,,,751.93,0.88,,0.003,
E14001127,,,,1.0,529.0,,,,,,,,5.0,,9.0,,,,2737.27,0.19,,0.002,
E14001128,1.0,1.0,,1.0,627.0,,,,,1.0,,,11.0,,11.0,,,,1391.14,0.45,,0.008,
E14001129,,,,1.0,467.0,,,,,,,,1.0,,2.0,,,,100.07,4.67,,0.01,
E14001130,,,2.0,2.0,395.0,,,,,,,,4.0,,10.0,,,,72.32,5.46,,0.055,
E14001131,,,,19.0,235.0,,19.0,20.0,19.0,,,,3.0,,3.0,,,,27.75,8.47,,0.108,
E14001132,,,,,307.0,,3.0,3.0,3.0,,,,3.0,,3.0,,,,56.4,5.44,,0.053,
E14001133,,,,,359.0,,,,,,,,,,,,,,55.28,6.49,,,
E14001134,,,,,420.0,,,1.0,1.0,,,,5.0,,6.0,,,,106.47,3.94,,0.047,
E14001135,,,,,357.0,,,,,,,,2.0,,2.0,,,,57.24,6.24,,0.035,
E14001136,,,,,647.0,,,,,,2.0,2.0,9.0,,11.0,,,,1959.16,0.33,0.0,0.005,
E14001137,,,,,356.0,,,,,1.0,,,5.0,,7.0,,,,119.08,2.99,,0.042,
E14001138,,,1.0,4.0,525.0,,,,,,,,5.0,,7.0,,,,581.43,0.9,,0.009,
E14001139,,,,5.0,235.0,,,,,,,,6.0,,7.0,,,,225.8,1.04,,0.027,
E14001140,,,,2.0,481.0,,,,,,9.0,18.0,2.0,,6.0,,18.0,,167.37,2.87,0.05,0.012,
E14001141,,,,9.0,562.0,,,,,,,,2.0,,3.0,,,,1042.87,0.54,,0.002,
E14001142,,,,10.0,617.0,,,,,,,,6.0,,8.0,,,4.0,342.09,1.8,,0.018,
E14001143,,,1.0,5.0,695.0,,,,,,,,2.0,,2.0,,,,667.94,1.04,,0.003,
E14001144,,5.0,4.0,19.0,596.0,1.0,,,,,3.0,2.0,,,,,,7.0,164.79,3.62,0.02,,
E14001145,,3.0,,,440.0,1.0,,,,,5.0,10.0,,,,,,2.0,126.37,3.48,0.04,,
E14001146,,,,16.0,866.0,,,,,,,,4.0,,6.0,,,,1073.03,0.81,,0.004,
E14001147,,,,13.0,1478.0,,,,,,,,5.0,,14.0,,,,862.69,1.71,,0.006,
E14001148,,,,5.0,798.0,,,,,,,,3.0,,3.0,,,,659.72,1.21,,0.005,
E14001149,,,,11.0,414.0,,,,,,,,1.0,,1.0,,,,86.07,4.81,,0.012,
E14001150,,,2.0,15.0,449.0,,,,,,,,3.0,,6.0,,,,214.7,2.09,,0.014,
E14001151,,,1.0,22.0,526.0,,,,,,,,7.0,,14.0,,,6.0,597.89,0.88,,0.012,
E14001152,1.0,,,8.0,684.0,,,,,,,,3.0,,5.0,,,,2726.86,0.25,,0.001,
E14001153,,,,,252.0,,,,,,2.0,2.0,4.0,,8.0,,1.0,,65.53,3.85,0.03,0.061,
E14001154,,,,,251.0,,,,,,,,1.0,,2.0,,,,148.37,1.69,,0.007,
E14001155,,,,,814.0,,,1.0,1.0,,4.0,,9.0,,9.0,,4.0,,3425.9,0.24,0.0,0.003,
E14001156,,,,,845.0,,,,,,,,3.0,,4.0,,,,1454.57,0.58,,0.002,
E14001157,,,,3.0,393.0,,,,,,,,3.0,,5.0,1.0,,1.0,141.96,2.77,,0.021,
E14001158,,,,,374.0,,,,,,,,6.0,,15.0,,,,110.5,3.38,,0.054,
E14001159,,,,6.0,431.0,,,,,,,,1.0,,2.0,,,,87.07,4.95,,0.011,
E14001160,,,,,196.0,,,,1.0,,6.0,12.0,2.0,,4.0,,7.0,,24.06,8.15,0.25,0.083,
E14001161,,,,10.0,569.0,,,,,,,,1.0,,1.0,,,,92.51,6.15,,0.011,
E14001162,,,,,499.0,,,,,,3.0,5.0,4.0,,5.0,,4.0,,377.49,1.32,0.01,0.011,
E14001163,,,,13.0,598.0,,,,,,,,5.0,,13.0,3.0,,,317.95,1.88,,0.016,
E14001164,,,,,1019.0,,,,,,,,4.0,,5.0,1.0,,,2091.19,0.49,,0.002,
E14001165,,,,,859.0,,,,,,,,1.0,,1.0,,,,132.1,6.5,,0.008,
E14001166,,,3.0,9.0,691.0,,2.0,2.0,,,,,5.0,,10.0,,,4.0,726.01,0.95,,0.007,
E14001167,,,,,256.0,,,,,,1.0,2.0,2.0,,4.0,,3.0,,58.95,4.34,0.02,0.034,
E14001168,,,,8.0,642.0,,,,,,,,1.0,,1.0,,,,704.16,0.91,,0.001,
E14001169,,,,,360.0,,,,,,3.0,5.0,2.0,,3.0,,5.0,,104.31,3.45,0.03,0.019,
E14001170,,,,15.0,525.0,,,,,,,,3.0,,7.0,,,1.0,388.84,1.35,,0.008,
E14001171,1.0,,,,486.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,283.3,1.72,,0.004,
E14001172,,,,1.0,549.0,,1.0,6.0,4.0,,35.0,114.0,14.0,,25.0,,142.0,,47.93,11.45,0.73,0.292,
E14001173,,,,14.0,870.0,,,,,,,,1.0,,2.0,,,,646.67,1.35,,0.002,
E14001174,,,,,578.0,,,,1.0,,,,7.0,,9.0,,,,523.32,1.1,,0.013,
E14001175,,,,,166.0,,,,,,2.0,7.0,2.0,,2.0,,5.0,,19.59,8.47,0.1,0.102,
E14001176,,,,2.0,548.0,,,,,,,,3.0,,4.0,,,,110.63,4.95,,0.027,
E14001177,,,,4.0,1195.0,,,,,,,,4.0,,7.0,,,,488.45,2.45,,0.008,
E14001178,,1.0,,4.0,558.0,,,,,,,,5.0,,10.0,2.0,,,587.54,0.95,,0.009,
E14001179,,,,,890.0,,,,,,,,1.0,,1.0,,,,1404.74,0.63,,0.001,
E14001180,,,,5.0,453.0,,,,,,,,1.0,,,,,,77.26,5.86,,0.013,
E14001181,,,,,464.0,,,,,,,,,,,,,,103.61,4.48,,,
E14001182,,,,26.0,618.0,,,,,,,,3.0,,,,,,84.05,7.35,,0.036,
E14001183,,,,4.0,500.0,,,,,,3.0,6.0,1.0,,4.0,,,,299.54,1.67,0.01,0.003,
E14001184,6.0,,,10.0,416.0,,,,,3.0,2.0,2.0,4.0,,9.0,,2.0,6.0,113.97,3.65,0.02,0.035,
E14001185,,4.0,,15.0,627.0,,,,,,,,2.0,,3.0,3.0,,1.0,249.07,2.52,,0.008,
E14001186,,,,,334.0,,,,,,12.0,24.0,,,2.0,,17.0,,67.78,4.93,0.18,,
E14001187,,,1.0,,389.0,,,,,,2.0,3.0,10.0,,19.0,,1.0,,96.38,4.04,0.02,0.104,
E14001188,,,,,255.0,,,,,,10.0,15.0,5.0,,11.0,,14.0,,37.14,6.87,0.27,0.135,
E14001189,,,,,264.0,,,,,,3.0,4.0,1.0,,2.0,,2.0,,101.59,2.6,0.03,0.01,
E14001190,,,,,528.0,,,,,,,,2.0,,3.0,,,,336.63,1.57,,0.006,
E14001191,,,3.0,17.0,430.0,,,,,,,,6.0,,11.0,,,7.0,158.84,2.71,,0.038,
E14001192,,,,7.0,839.0,,,,,,,,1.0,,1.0,,,,2085.99,0.4,,0.0,
E14001193,,,,,540.0,,,,,,,,,,,,,,81.12,6.66,,,
E14001194,,,,29.0,500.0,,,,,,,,2.0,,4.0,,,,85.69,5.83,,0.023,
E14001195,,,,9.0,1271.0,,,,,,5.0,6.0,7.0,,8.0,,5.0,,2516.53,0.51,0.0,0.003,
E14001196,,,,33.0,651.0,,,,,,,,3.0,,4.0,,,,154.54,4.21,,0.019,
E14001197,,,,,581.0,,,,,,1.0,1.0,4.0,,5.0,,1.0,,1042.04,0.56,0.0,0.004,
E14001198,,,,33.0,614.0,,,,,,,,2.0,,2.0,,,,315.33,1.95,,0.006,
E14001199,,,,,632.0,,,,,1.0,,,4.0,,4.0,,,,1180.61,0.54,,0.003,
E14001200,,,,,697.0,,,,,,,,3.0,,5.0,,,,680.23,1.02,,0.004,
E14001201,,,2.0,,579.0,,,,,,,,10.0,,17.0,,,,713.88,0.81,,0.014,
E14001202,,,,,598.0,,2.0,2.0,2.0,,2.0,2.0,8.0,,13.0,,2.0,4.0,557.09,1.07,0.0,0.014,
E14001203,,,,6.0,567.0,,,,,,,,5.0,,7.0,,,,1066.43,0.53,,0.005,
E14001204,,,,19.0,536.0,,,,,,,,,,,,,,76.41,7.01,,,
E14001205,,,1.0,,261.0,,,,,,1.0,1.0,9.0,,12.0,,,,37.09,7.04,0.03,0.243,
E14001206,,,,,543.0,,,,,,,,1.0,,2.0,,,7.0,206.31,2.63,,0.005,
E14001207,,,,13.0,328.0,,,,,,12.0,27.0,4.0,,9.0,,18.0,,52.82,6.21,0.23,0.076,
E14001208,,,,,281.0,,,,,,3.0,4.0,7.0,,7.0,,5.0,,59.28,4.74,0.05,0.118,
E14001209,,,,,195.0,,,,,,2.0,4.0,1.0,,2.0,,2.0,,41.73,4.67,0.05,0.024,
E14001210,,,,,529.0,,,,,,,,1.0,,2.0,,,,125.94,4.2,,0.008,
E14001211,,,,14.0,695.0,,,,,,,,2.0,,2.0,,,,444.51,1.56,,0.004,
E14001212,,,,2.0,590.0,,,,,,3.0,3.0,5.0,,7.0,,2.0,3.0,964.45,0.61,0.0,0.005,
E14001213,,,,,154.0,,,,,,2.0,2.0,2.0,,2.0,,4.0,,25.83,5.96,0.08,0.077,
E14001214,,,,,483.0,,,,,,3.0,5.0,5.0,,5.0,,2.0,,1301.77,0.37,0.0,0.004,
E14001215,,,2.0,,573.0,,,,,,,,13.0,,21.0,,,,661.76,0.87,,0.02,
E14001216,,,,1.0,480.0,,1.0,1.0,1.0,,,,3.0,,4.0,,,10.0,82.57,5.81,,0.036,
E14001217,,,,,1081.0,,,,,,,,2.0,,2.0,,,,2696.14,0.4,,0.001,
E14001218,1.0,,,,494.0,,,,,1.0,,,5.0,,10.0,,,8.0,139.06,3.55,,0.036,
E14001219,,,,,464.0,,,,,,,,2.0,,3.0,,,,110.33,4.21,,0.018,
E14001220,1.0,,,6.0,354.0,,,,,1.0,,,3.0,,3.0,,,,128.66,2.75,,0.023,
E14001221,,,,,248.0,,,,,,,,6.0,,6.0,,,,56.89,4.36,,0.105,
E14001222,,2.0,,8.0,484.0,,,,,,,,8.0,,10.0,2.0,,1.0,106.17,4.56,,0.075,
E14001223,,,,,338.0,,,,,,,,6.0,,10.0,,,,78.94,4.28,,0.076,
E14001224,,,,,684.0,,,,,,,,7.0,,7.0,,,,1943.46,0.35,,0.004,
E14001225,,,,,321.0,,,,,,,,10.0,,11.0,,,,105.37,3.05,,0.095,
E14001226,,,,1.0,402.0,,,,,,8.0,16.0,,,,,12.0,,327.92,1.23,0.02,,
E14001227,,,,,370.0,,,,,,,,6.0,,11.0,,,,149.01,2.48,,0.04,
E14001228,,,,2.0,496.0,,,,,,,,2.0,,4.0,,,,165.04,3.01,,0.012,
E14001229,,,,,347.0,,,,,,,,5.0,,9.0,,,,66.68,5.2,,0.075,
E14001230,,,,,344.0,,2.0,2.0,1.0,,,,7.0,,11.0,,,,121.99,2.82,,0.057,
E14001231,,,,12.0,508.0,,,,,,,,5.0,,7.0,,,,84.32,6.02,,0.059,
E14001232,1.0,,,1.0,719.0,,1.0,1.0,1.0,1.0,,,10.0,,11.0,,,,611.11,1.18,,0.016,
E14001233,,,,11.0,362.0,,,,,,,,2.0,,2.0,,,,247.33,1.46,,0.008,
E14001234,,,,,540.0,,,,,,,,3.0,,4.0,,,,429.93,1.26,,0.007,
E14001235,,,,,442.0,,,,,,,,7.0,,12.0,,,2.0,961.9,0.46,,0.007,
E14001236,,,,,331.0,,,,,,1.0,1.0,1.0,,4.0,,1.0,,72.12,4.59,0.01,0.014,
E14001237,,,,,481.0,,,,,,,,3.0,,3.0,,,,116.83,4.12,,0.026,
E14001238,,,,,419.0,,,,,,5.0,9.0,2.0,,3.0,,10.0,,54.24,7.72,0.09,0.037,
E14001239,1.0,,2.0,7.0,446.0,,,,,1.0,8.0,8.0,3.0,,5.0,,8.0,9.0,583.93,0.76,0.01,0.005,
E14001240,,,1.0,1.0,1722.0,,,1.0,1.0,,5.0,,1.0,,1.0,,5.0,,1528.22,1.13,0.0,0.001,
E14001241,,,,1.0,714.0,,,,,,,,2.0,,2.0,,,,1212.75,0.59,,0.002,
E14001242,,,,,574.0,,,,,1.0,,,8.0,,10.0,,,,498.45,1.15,,0.016,
E14001243,,,,4.0,999.0,,,,,,,,4.0,,2.0,,,,3245.2,0.31,,0.001,
E14001244,,,,25.0,597.0,,,,,,2.0,4.0,2.0,,,,,,125.25,4.77,0.02,0.016,
E14001245,,,,,571.0,,,,,,,,3.0,,5.0,,,,176.34,3.24,,0.017,
E14001246,,,,,339.0,,,,,,,,2.0,,2.0,,,,77.88,4.35,,0.026,
E14001247,,,,1.0,686.0,,,,,,,,3.0,,3.0,,,,1754.57,0.39,,0.002,
E14001248,,,,11.0,556.0,,,,,,,,1.0,,1.0,,,,93.76,5.93,,0.011,
E14001249,,,,,683.0,,,,,,,,10.0,,20.0,,,,876.64,0.78,,0.011,
E14001250,,,,,550.0,,,,,,,,11.0,,19.0,,,,2039.8,0.27,,0.005,
E14001251,,,,,433.0,,,,,,,,6.0,,8.0,,,2.0,63.96,6.77,,0.094,
E14001252,,,,14.0,296.0,,,1.0,1.0,,,,,,,,,,91.06,3.25,,,
E14001253,,,,17.0,757.0,,,,,,,,3.0,,3.0,,,,2066.26,0.37,,0.001,
E14001254,,,1.0,,432.0,,,,2.0,,,,5.0,,7.0,,,3.0,254.03,1.7,,0.02,
E14001255,,,,11.0,524.0,,,,,,,,5.0,,4.0,,,,97.27,5.39,,0.051,
E14001256,,,,,556.0,,,,,,,,1.0,,,,,,472.09,1.18,,0.002,
E14001257,,,,,269.0,,,2.0,2.0,,6.0,10.0,7.0,,12.0,,11.0,,39.21,6.86,0.15,0.179,
E14001258,,,,24.0,572.0,,,,,,,,5.0,,8.0,,,,321.83,1.78,,0.016,
E14001259,,,,,175.0,,,,,,,,3.0,,3.0,,,,23.32,7.5,,0.129,
E14001260,,,,,253.0,,,,,,,,9.0,,16.0,,,,20.83,12.15,,0.432,
E14001261,,,,13.0,466.0,,,,,,,,2.0,,3.0,,,,82.85,5.62,,0.024,
E14001262,,,,19.0,1102.0,,,,,,,,2.0,,4.0,,,,175.58,6.28,,0.011,
E14001263,,,,,426.0,,,,1.0,,,,6.0,,6.0,,,,231.03,1.84,,0.026,
E14001264,,,,,224.0,,,,,,11.0,23.0,4.0,,7.0,,16.0,,32.61,6.87,0.34,0.123,
E14001265,,,1.0,,245.0,,,,,,6.0,11.0,7.0,,9.0,,13.0,,39.52,6.2,0.15,0.177,
E14001266,,,,,438.0,,,,,,,,2.0,,2.0,,,,448.65,0.98,,0.004,
E14001267,,,,20.0,393.0,,,,,,,,3.0,,3.0,,,,400.38,0.98,,0.007,
E14001268,,,,,589.0,,,,,,,,3.0,,5.0,,,,648.49,0.91,,0.005,
E14001269,,,,13.0,596.0,,,,,,,,5.0,,5.0,,,,386.2,1.54,,0.013,
E14001270,,,,,217.0,,,,,,4.0,8.0,,,,,7.0,,64.75,3.35,0.06,,
E14001271,,,,,191.0,,,,,,7.0,14.0,5.0,,7.0,,8.0,,45.23,4.22,0.15,0.111,
