PCON24CD,AIR,BCE,BCQ,BCS,BCT,BST,FBT,FER,FTD,GAT,MET,PLT,RLY,RPL,RSE,STR,TMU,TXR,area_km2,BCT_density,MET_density,RLY_density,alltypes
E14001484,,,,3.0,755.0,,5.0,9.0,11.0,,5.0,3.0,1.0,,1.0,,5.0,,1558.06,0.48,0.0,0.001,
E14001485,,,,3.0,617.0,,1.0,1.0,1.0,,4.0,7.0,4.0,,4.0,,4.0,,872.77,0.71,0.0,0.005,
E14001486,,,,,939.0,,1.0,3.0,3.0,,1.0,,14.0,,14.0,,1.0,,1745.35,0.54,0.0,0.008,
E14001487,,,,8.0,856.0,,,,,,,,1.0,,,,,,2124.83,0.4,,0.0,
E14001488,,,,,489.0,,,,,,,,1.0,,1.0,,,,894.35,0.55,,0.001,
E14001489,,,,,639.0,,1.0,1.0,,,1.0,1.0,3.0,,4.0,,,,1408.43,0.45,0.0,0.002,
E14001490,,,1.0,1.0,745.0,,,,,,,,1.0,,1.0,,,,1678.7,0.44,,0.001,
E14001491,,,,,530.0,,,,,,,,3.0,,6.0,,,1.0,399.44,1.33,,0.008,
E14001492,,,,,492.0,,,1.0,,,6.0,10.0,2.0,,,,,,107.59,4.57,0.06,0.019,
E14001493,,,,2.0,1143.0,,,,,,,,7.0,,13.0,,,,4913.41,0.23,,0.001,
E14001494,,,,4.0,863.0,,,,,,,,1.0,,1.0,,,1.0,1570.84,0.55,,0.001,
E14001495,,,,,799.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,969.57,0.82,,0.001,
E14001496,,,,,441.0,,,,,,4.0,9.0,4.0,,5.0,,6.0,,252.21,1.75,0.02,0.016,
E14001497,,,,6.0,643.0,,,,,,,,5.0,,5.0,,,,3130.27,0.21,,0.002,
E14001498,,,,,669.0,,,,,,,,4.0,,4.0,,,,1148.84,0.58,,0.003,
E14001499,,,,5.0,379.0,,,,,,,,4.0,,5.0,,,,51.11,7.42,,0.078,
E14001500,,,,,321.0,,,,,,,,3.0,,3.0,,,,55.35,5.8,,0.054,
E14001501,1.0,,,,392.0,,,,1.0,1.0,,,8.0,,12.0,,,,341.41,1.15,,0.023,
E14001502,,,,,365.0,,,,,,,,3.0,,4.0,,,,59.67,6.12,,0.05,
E14001503,,,,,292.0,,,,,,6.0,8.0,5.0,,6.0,,12.0,,64.1,4.56,0.09,0.078,
E14001504,,,,,584.0,,,,,,,,5.0,,8.0,,,16.0,348.39,1.68,,0.014,
E14001505,,,,10.0,376.0,,1.0,1.0,,,,,6.0,,9.0,,,,131.47,2.86,,0.046,
E14001506,,,,6.0,721.0,,,,,,,,1.0,,3.0,,,,176.88,4.08,,0.006,
E14001507,,,,,406.0,,,,,,,,5.0,,6.0,,,,155.54,2.61,,0.032,
E14001508,,,,9.0,814.0,,2.0,2.0,2.0,,,,7.0,,7.0,,,,722.85,1.13,,0.01,
E14001509,,1.0,,4.0,679.0,,,,,,,,4.0,,6.0,,,1.0,236.49,2.87,,0.017,
E14001510,,1.0,,9.0,607.0,,,,,,,,6.0,,14.0,,,18.0,154.47,3.93,,0.039,
E14001511,3.0,,,6.0,1060.0,,3.0,4.0,4.0,3.0,,,6.0,,6.0,,,,1402.47,0.76,,0.004,
E14001512,,,,,516.0,,,,,,,,1.0,,1.0,,,,931.87,0.55,,0.001,
E14001513,,,1.0,,509.0,,,,,,,,2.0,,1.0,,,,1140.33,0.45,,0.002,
E14001514,,,,6.0,545.0,,,,,,2.0,,,,,,,,1475.41,0.37,0.0,,
E14001515,,3.0,4.0,6.0,591.0,2.0,,,,,,,9.0,,14.0,,,3.0,178.31,3.31,,0.05,
E14001516,,,,11.0,349.0,,,,,,,,2.0,,2.0,,,,166.28,2.1,,0.012,
E14001517,,,1.0,15.0,448.0,1.0,,,,,,,5.0,,10.0,,1.0,7.0,71.07,6.3,,0.07,
E14001518,,,,,585.0,,,,,,,,2.0,,1.0,9.0,,4.0,259.42,2.26,,0.008,
E14001519,1.0,,,,482.0,,,,,1.0,,,5.0,,5.0,1.0,,2.0,576.31,0.84,,0.009,
E14001520,,,,23.0,628.0,,,,,,,,2.0,,4.0,,,,101.43,6.19,,0.02,
E14001521,,,,,505.0,,,,,,,,2.0,,2.0,,,,132.59,3.81,,0.015,
E14001522,,,2.0,10.0,471.0,,,,,,,,3.0,,2.0,,,,437.08,1.08,,0.007,
E14001523,,,1.0,,492.0,,,,,,,,3.0,,5.0,,,,1132.12,0.43,,0.003,
E14001524,,,,17.0,436.0,,,,,,,,4.0,,,,,,78.85,5.53,,0.051,
E14001525,,,,,206.0,,,,,,9.0,28.0,5.0,,12.0,,9.0,,29.04,7.09,0.31,0.172,
E14001526,,,,,718.0,,,,,,,,11.0,,14.0,,,,1670.98,0.43,,0.007,
E14001527,,,,,249.0,,,,,,,,5.0,,6.0,,,,35.43,7.03,,0.141,
E14001528,,3.0,1.0,16.0,511.0,1.0,,,,,11.0,22.0,6.0,,10.0,,19.0,3.0,131.64,3.88,0.08,0.046,
E14001529,,,1.0,3.0,1113.0,,,,,,,,3.0,,3.0,,,,696.63,1.6,,0.004,
E14001530,,,,1.0,843.0,,2.0,3.0,5.0,,,,6.0,,11.0,,,,1776.79,0.47,,0.003,
E14001531,,,,19.0,645.0,,,,,,8.0,16.0,3.0,,,,,,87.44,7.38,0.09,0.034,
E14001532,,,,,386.0,,,,,,,,4.0,,5.0,,,1.0,333.82,1.16,,0.012,
E14001533,,,1.0,,566.0,,,,,,3.0,3.0,4.0,,4.0,,3.0,,1214.63,0.47,0.0,0.003,
E14001534,,,,,220.0,,,,,,,,5.0,,7.0,,,,46.84,4.7,,0.107,
E14001535,,,,,459.0,,,,,,,,6.0,,7.0,,,,155.91,2.94,,0.038,
E14001536,,,,,466.0,,,,,,,,,,1.0,,,,265.28,1.76,,,
E14001537,,,,19.0,496.0,,,,,,,,1.0,,1.0,,,,84.32,5.88,,0.012,
E14001538,,,,,530.0,,,,,,,,4.0,,6.0,,,,519.97,1.02,,0.008,
E14001539,,1.0,,3.0,617.0,,,,,,,,10.0,,17.0,2.0,,,1011.92,0.61,,0.01,
E14001540,,,,2.0,794.0,,,,,,,,1.0,,2.0,,,,725.39,1.09,,0.001,
E14001541,,,,16.0,504.0,,,,,,,,2.0,,8.0,,,,140.0,3.6,,0.014,
E14001542,,,,,862.0,,,,,,5.0,2.0,1.0,,1.0,,3.0,,846.77,1.02,0.01,0.001,
E14001543,,,,13.0,698.0,,,,,,,,4.0,,8.0,,,,1382.67,0.5,,0.003,
E14001544,,,,4.0,797.0,,,,,,4.0,,4.0,,4.0,,,,5796.54,0.14,0.0,0.001,
E14001545,,,,,833.0,,,,,,,,3.0,,3.0,,,,1079.46,0.77,,0.003,
E14001546,,,,22.0,363.0,,,,1.0,,,,5.0,,7.0,,,6.0,165.8,2.19,,0.03,
E14001547,,,,10.0,505.0,,,,,,3.0,6.0,4.0,,4.0,,3.0,,74.18,6.81,0.04,0.054,
E14001548,,,1.0,,814.0,,,,,,9.0,,2.0,,2.0,,10.0,,3236.95,0.25,0.0,0.001,
E14001549,,,4.0,,480.0,,,,,,,,10.0,,16.0,,,2.0,772.03,0.62,,0.013,
E14001550,,,,,178.0,,,,,,3.0,2.0,2.0,,2.0,,7.0,,28.86,6.17,0.1,0.069,
E14001551,,,,15.0,636.0,,2.0,1.0,1.0,,2.0,2.0,3.0,,3.0,,2.0,,89.48,7.11,0.02,0.034,
E14001552,,,,1.0,834.0,,1.0,2.0,2.0,,,,2.0,,2.0,,,,4073.36,0.2,,0.0,
E14001553,,,,1.0,251.0,,,,,,3.0,5.0,8.0,,10.0,,13.0,,30.9,8.12,0.1,0.259,
E14001554,,,,11.0,919.0,,3.0,5.0,7.0,,,,6.0,,6.0,,,,1058.4,0.87,,0.006,
E14001555,,,1.0,,508.0,,,,,,1.0,1.0,4.0,,7.0,,1.0,6.0,628.7,0.81,0.0,0.006,
E14001556,,,,,299.0,,2.0,2.0,2.0,,,,7.0,,10.0,,,,70.49,4.24,,0.099,
E14001557,,,,,476.0,,,1.0,,,8.0,16.0,,,,,,,100.85,4.72,0.08,,
E14001558,,,1.0,,282.0,,,,,,7.0,11.0,2.0,,3.0,,11.0,,104.33,2.7,0.07,0.019,
E14001559,,,,,206.0,,,,4.0,,7.0,12.0,4.0,,6.0,,18.0,,18.68,11.03,0.37,0.214,
E14001560,,,,25.0,745.0,,,,,,,,4.0,,8.0,,,,172.9,4.31,,0.023,
E14001561,,,,,462.0,,,2.0,2.0,,,,5.0,,11.0,,,8.0,71.81,6.43,,0.07,
E14001562,,,,15.0,589.0,,,,,,,,3.0,,3.0,,,,86.76,6.79,,0.035,
E14001563,,,,,218.0,,,,,,2.0,2.0,6.0,,10.0,,,,41.86,5.21,0.05,0.143,
E14001564,,1.0,,,587.0,,,,,,,,3.0,,,,,,256.66,2.29,,0.012,
E14001565,,,,19.0,490.0,,,,,,,,4.0,,2.0,,,10.0,203.52,2.41,,0.02,
E14001566,,,,4.0,548.0,,,,,,,,2.0,,3.0,,,,238.57,2.3,,0.008,
E14001567,,,,13.0,613.0,,,,,,,,,,,,,,209.71,2.92,,,
E14001568,,,,,368.0,,,,,,1.0,1.0,7.0,,9.0,,1.0,,63.32,5.81,0.02,0.111,
E14001569,,,,1.0,970.0,,,,,,,,3.0,,4.0,,,,2645.9,0.37,,0.001,
E14001570,,,1.0,,587.0,,,,,,3.0,3.0,10.0,,15.0,,3.0,1.0,1935.25,0.3,0.0,0.005,
E14001571,,,,,604.0,,,,,,,,1.0,,1.0,,,1.0,244.72,2.47,,0.004,
E14001572,,,,5.0,743.0,,,,,,,,1.0,,1.0,,,,1712.44,0.43,,0.001,
E14001573,,,1.0,7.0,513.0,,,,,,,,5.0,,5.0,,,,281.49,1.82,,0.018,
E14001574,,,,21.0,506.0,,,,,,6.0,12.0,2.0,,1.0,,6.0,,95.46,5.3,0.06,0.021,
E14001575,,,1.0,1.0,778.0,,,,,,,,7.0,,7.0,,,,2517.91,0.31,,0.003,
E14001576,,,,,296.0,,,,,1.0,19.0,36.0,2.0,,2.0,,32.0,,48.41,6.11,0.39,0.041,
E14001577,,,,7.0,677.0,,,,,,,,11.0,,22.0,,,,743.01,0.91,,0.015,
E14001578,,,,11.0,914.0,,,,,,,,2.0,,5.0,,,6.0,2031.18,0.45,,0.001,
E14001579,,,,,737.0,,,,,,,,3.0,,3.0,,,,1872.68,0.39,,0.002,
E14001580,,,,10.0,879.0,,20.0,21.0,25.0,,3.0,,10.0,,21.0,,,,7137.55,0.12,0.0,0.001,
E14001581,,,,,585.0,,1.0,1.0,1.0,,,,3.0,,3.0,,,,157.3,3.72,,0.019,
E14001582,,,,5.0,925.0,,,,,,,,4.0,,4.0,,,,2722.5,0.34,,0.001,
E14001583,,,,6.0,467.0,,,,,,,,12.0,,15.0,,,,1580.52,0.3,,0.008,
E14001584,,,,,450.0,,,,,,,,4.0,,4.0,,,10.0,176.68,2.55,,0.023,
E14001585,,3.0,3.0,19.0,663.0,1.0,,,,,,,4.0,,9.0,,,1.0,171.23,3.87,,0.023,
E14001586,,,,,256.0,,,,,,8.0,13.0,9.0,,13.0,,7.0,,58.8,4.35,0.14,0.153,
E14001587,,,,9.0,791.0,,,,,,1.0,2.0,3.0,,3.0,,1.0,,1448.57,0.55,0.0,0.002,
E14001588,,,,,590.0,,,,,,,,8.0,,19.0,,,3.0,285.44,2.07,,0.028,
E14001589,,1.0,,4.0,562.0,,,,,,,,5.0,,7.0,,,2.0,245.24,2.29,,0.02,
E14001590,,,,,633.0,,,,,,,,6.0,,8.0,,,,1107.64,0.57,,0.005,
E14001591,,,,,693.0,,,,,,,,2.0,,2.0,,,,1452.71,0.48,,0.001,
E14001592,,,,,458.0,,,,,,,,4.0,,7.0,,,,162.6,2.82,,0.025,
E14001593,,,,,486.0,,,,,,,,5.0,,13.0,,,6.0,355.54,1.37,,0.014,
E14001594,,,,,461.0,,,,,,1.0,1.0,1.0,,,,,,73.33,6.29,0.01,0.014,
E14001595,,,,7.0,549.0,,,,,,6.0,12.0,,,,,7.0,,83.03,6.61,0.07,,
E14001596,,,,21.0,540.0,,,,,,2.0,4.0,,,,,1.0,,82.16,6.57,0.02,,
E14001597,,,,15.0,443.0,,,,,,,,2.0,,3.0,,,,88.71,4.99,,0.023,
E14001598,,2.0,2.0,4.0,457.0,1.0,,,,,1.0,1.0,5.0,,8.0,,,4.0,201.44,2.27,0.0,0.025,
E14001599,,,,,478.0,,,,,,,,5.0,,10.0,,,5.0,186.83,2.56,,0.027,
E14001600,,,,25.0,577.0,,,,,,,,1.0,,2.0,,,,365.34,1.58,,0.003,
E14001601,,,,8.0,485.0,,,,,,,,2.0,,5.0,,,,524.0,0.93,,0.004,
E14001602,8.0,6.0,3.0,17.0,466.0,2.0,,,,4.0,17.0,34.0,1.0,,1.0,,41.0,9.0,102.68,4.54,0.17,0.01,
E14001603,,,,1.0,735.0,,,,,,,,3.0,,3.0,,,,843.37,0.87,,0.004,
E14001604,,,,,528.0,,,,,,,,1.0,,1.0,,,6.0,72.72,7.26,,0.014,
E14001605,,,,,673.0,,,,,,,,1.0,,2.0,,,1.0,711.73,0.95,,0.001,
S14000021,,,,,393.0,,,,,,,,9.0,,,,,,548.98,0.72,,0.016,
S14000027,3.0,4.0,,6.0,1830.0,,1.0,1.0,8.0,3.0,,,,,,,,2.0,10928.37,0.17,,,
S14000045,,,,,712.0,,,,,,,,4.0,,,,,2.0,1124.29,0.63,,0.004,
S14000048,,,,6.0,738.0,,,4.0,,,,,11.0,,,,,,2559.97,0.29,,0.004,
S14000051,7.0,1.0,,7.0,1639.0,,,19.0,40.0,14.0,,,,,,,,5.0,9819.05,0.17,,,
S14000060,,,,,649.0,,,,,1.0,,,1.0,,1.0,,,,337.65,1.92,,0.003,
S14000061,,1.0,,13.0,699.0,,,1.0,,,,,1.0,,2.0,,,,291.98,2.39,,0.003,
S14000062,,,,9.0,936.0,,,,,,1.0,,1.0,,1.0,,,,4624.77,0.2,0.0,0.0,
S14000063,,,,,527.0,,,,,,,,7.0,,,,,,754.46,0.7,,0.009,
S14000064,,,,7.0,562.0,,,,,,,,2.0,,4.0,,,6.0,540.26,1.04,,0.004,
S14000065,,,,,1829.0,,,,,,2.0,,5.0,,4.0,,,12.0,18275.95,0.1,0.0,0.0,
S14000066,,,,9.0,872.0,,,,,,,,7.0,,,,,8.0,1359.92,0.64,,0.005,
S14000067,,,,5.0,1510.0,,2.0,38.0,,6.0,,,15.0,,1.0,,,9.0,29448.62,0.05,,0.001,
S14000068,,,,3.0,671.0,,,,,,3.0,,4.0,,1.0,,,1.0,674.78,0.99,0.0,0.006,
S14000069,,,,,1681.0,,,5.0,,1.0,,,29.0,,27.0,,,9.0,41508.46,0.04,,0.001,
S14000070,,,,,430.0,,,,,,,,9.0,,,,,,218.07,1.97,,0.041,
S14000071,,11.0,2.0,24.0,931.0,,,1.0,,,,,8.0,,25.0,,,16.0,474.46,1.96,,0.017,
S14000072,,,,,443.0,,,,,,,,4.0,,,,,,453.95,0.98,,0.009,
S14000073,,,,7.0,1340.0,,2.0,3.0,,,,,1.0,,,,,,11877.4,0.11,,0.0,
S14000074,,,,3.0,1139.0,,,,,,2.0,2.0,6.0,,,,,,13660.12,0.08,0.0,0.0,
S14000075,,,,10.0,747.0,,,,,1.0,,,1.0,,,,,,132.22,5.65,,0.008,
S14000076,,2.0,2.0,15.0,831.0,,,,1.0,,,,3.0,,7.0,,,8.0,860.74,0.97,,0.003,
S14000077,,,,15.0,383.0,,,,,,,,3.0,,,,,,955.99,0.4,,0.003,
S14000078,,,,,564.0,,,,,,1.0,1.0,4.0,,8.0,,,17.0,100.99,5.58,0.01,0.04,
S14000079,,3.0,,18.0,432.0,,,,,,9.0,20.0,,,,,,15.0,60.65,7.12,0.15,,
S14000080,,,,,390.0,,,,,,,,,,,,,7.0,99.01,3.94,,,
S14000081,,,,,519.0,,,,,,4.0,7.0,5.0,,8.0,,,8.0,285.06,1.82,0.01,0.018,
S14000082,1.0,,,,564.0,,,1.0,,1.0,9.0,18.0,4.0,,7.0,,,3.0,318.71,1.77,0.03,0.013,
S14000083,,,,10.0,796.0,,,,,,1.0,,4.0,,12.0,,,10.0,643.38,1.24,0.0,0.006,
S14000084,,,,,425.0,,,,,,2.0,4.0,12.0,,,,,,89.08,4.77,0.02,0.135,
S14000085,,,,59.0,449.0,,1.0,1.0,,,5.0,10.0,14.0,,,,,,88.18,5.09,0.06,0.159,
S14000086,,,,,617.0,,,,,,,,6.0,,,,,,125.52,4.92,,0.048,
S14000087,,,,,416.0,,,,,,,,11.0,,,,,,84.48,4.92,,0.13,
S14000088,,,,17.0,465.0,,2.0,3.0,,,6.0,12.0,9.0,,,,,,92.92,5.0,0.06,0.097,
S14000089,,,,,426.0,,,1.0,,,2.0,4.0,6.0,,,,,,59.13,7.2,0.03,0.101,
S14000090,,6.0,2.0,17.0,960.0,,,,,,,,4.0,,12.0,,,8.0,558.0,1.72,,0.007,
S14000091,,,,,826.0,,,,,,,,4.0,,6.0,,,,7125.89,0.12,,0.001,
S14000092,,,,23.0,501.0,,,,,,,,6.0,,,,,,808.17,0.62,,0.007,
S14000093,,,,23.0,642.0,,,3.0,,,,,14.0,,,,,,622.24,1.03,,0.022,
S14000094,,,,15.0,1560.0,,2.0,15.0,,,,,22.0,,22.0,,,12.0,32660.97,0.05,,0.001,
S14000095,,,,8.0,531.0,,,,,,,,8.0,,,,,,772.95,0.69,,0.01,
S14000096,,,,,893.0,,1.0,1.0,,,,,6.0,,,,,,2134.52,0.42,,0.003,
S14000097,,,,,393.0,,,,,,,,6.0,,,,,,489.41,0.8,,0.012,
S14000098,,,,8.0,882.0,,,,,1.0,5.0,,8.0,,7.0,,,3.0,16112.69,0.05,0.0,0.0,
S14000099,,,,,475.0,,,,,,,,6.0,,,,,,676.32,0.7,,0.009,
S14000100,,5.0,2.0,14.0,1308.0,,,,,,,,6.0,,10.0,,,7.0,2576.66,0.51,,0.002,
S14000101,,,,20.0,419.0,,,2.0,,1.0,,,7.0,,,,,,258.58,1.62,,0.027,
S14000102,,,,,527.0,,,,,,,,7.0,,,,,,472.57,1.12,,0.015,
S14000103,,,,10.0,1191.0,,,2.0,,,,,2.0,,2.0,,,9.0,4600.94,0.26,,0.0,
S14000104,,,,,397.0,,,,,,,,7.0,,,,,,130.52,3.04,,0.054,
S14000105,,,,14.0,842.0,1.0,4.0,7.0,,,,,7.0,,2.0,,,3.0,8046.29,0.1,,0.001,
S14000106,,,,3.0,531.0,,2.0,5.0,,,,,13.0,,,,,,567.11,0.94,,0.023,
S14000107,,,,7.0,854.0,,,2.0,,,,,6.0,,,,,,5008.04,0.17,,0.001,
S14000108,,2.0,,8.0,1003.0,,,,,,,,3.0,,6.0,,,,11984.11,0.08,,0.0,
S14000109,,,,1.0,546.0,,,1.0,,1.0,,,5.0,,,,,,725.18,0.75,,0.007,
S14000110,,,,13.0,651.0,,,,,,,,5.0,,,,,,2191.98,0.3,,0.002,
S14000111,,,,,790.0,,,,,,,,3.0,,6.0,,,,11028.69,0.07,,0.0,
W07000081,,,,20.0,735.0,,,,,,,,7.0,,13.0,,,,626.06,1.17,,0.011,
W07000082,,,,,641.0,,,,,,,,10.0,,17.0,,,,515.21,1.24,,0.019,
W07000083,,,,6.0,1059.0,,,,,,2.0,,16.0,,24.0,,,,3878.11,0.27,0.0,0.004,
W07000084,,,,9.0,739.0,,,,,,,,9.0,,11.0,,,,434.62,1.7,,0.021,
W07000085,,,,9.0,784.0,,,,,,,,12.0,,19.0,,,,8200.46,0.1,,0.001,
W07000086,,,,11.0,551.0,,,,,,,,5.0,,10.0,,,,312.05,1.77,,0.016,
W07000087,,,,18.0,1284.0,,,,,,,,11.0,,18.0,,,,5303.8,0.24,,0.002,
W07000088,,,,13.0,592.0,,,,,,,,7.0,,15.0,,,,364.14,1.63,,0.019,
W07000089,,,,,492.0,,,,,,,,1.0,,3.0,,,,75.11,6.55,,0.013,
W07000090,,,,,488.0,,,,,,,,11.0,,20.0,,,,127.76,3.82,,0.086,
W07000091,,,,,638.0,,9.0,9.0,1.0,,,,10.0,,23.0,,,1.0,142.06,4.49,,0.07,
W07000092,,,,,505.0,,,,,,,,5.0,,10.0,,,,162.14,3.11,,0.031,
W07000093,,,,7.0,1016.0,,,1.0,,,8.0,,5.0,,8.0,,,,6496.92,0.16,0.0,0.001,
W07000094,,,,15.0,827.0,,,,,,2.0,,1.0,,4.0,,,,1794.97,0.46,0.0,0.001,
W07000095,,,,6.0,673.0,,,,,,,,3.0,,6.0,,,,450.08,1.5,,0.007,
W07000096,,,,4.0,1538.0,,,2.0,,,25.0,,29.0,,39.0,,,,7051.27,0.22,0.0,0.004,
W07000097,,,,8.0,873.0,,,,,1.0,,,2.0,,2.0,,,,796.02,1.1,,0.003,
W07000098,,,,7.0,1074.0,,,,,,,,6.0,,15.0,,,,916.7,1.17,,0.007,
W07000099,,,,28.0,830.0,,,,,,,,7.0,,9.0,,,,638.95,1.3,,0.011,
W07000100,,,,2.0,651.0,,,3.0,,,,,13.0,,19.0,,,,2502.63,0.26,,0.005,
W07000101,,,1.0,12.0,915.0,,,,,,,,4.0,,8.0,,,,2218.2,0.41,,0.002,
W07000102,,,,9.0,880.0,,,,,,4.0,,7.0,,14.0,,,,6478.11,0.14,0.0,0.001,
W07000103,,,,11.0,834.0,,,,,,,,3.0,,9.0,,,,559.96,1.49,,0.005,
W07000104,,,,24.0,541.0,,,,,,,,1.0,,2.0,,,,319.86,1.69,,0.003,
W07000105,,,,10.0,710.0,,,,,,,,5.0,,6.0,,,,377.54,1.88,,0.013,
W07000106,,,,17.0,607.0,,,,,,,,8.0,,19.0,,,,366.9,1.65,,0.022,
W07000107,,,,12.0,711.0,,,,,,,,10.0,,20.0,,,,517.88,1.37,,0.019,
W07000108,,,,24.0,635.0,,,,,,,,1.0,,1.0,,,,83.24,7.63,,0.012,
W07000109,,,,10.0,701.0,,,,,,,,2.0,,4.0,,,,328.25,2.14,,0.006,
W07000110,,,,1.0,651.0,,1.0,1.0,,1.0,,,6.0,,12.0,,,,760.19,0.86,,0.008,
W07000111,,,,9.0,800.0,,,,,,,,3.0,,8.0,,,,808.59,0.99,,0.004,
W07000112,,,,2.0,767.0,,,1.0,,1.0,,,6.0,,12.0,,,,1997.76,0.38,,0.003,
